source,period,total,swe,adj,ctrl,swe_share,adj_share,ctrl_share
kaggle_arshkon,2024-04,110360,4691.0,2396.0,8614.0,0.04250634287785429,0.021710764769844147,0.07805364262413918
kaggle_asaniczka,2024-01,847526,18129.0,9420.0,105341.0,0.02139049421492674,0.01111470326574052,0.12429235209303313
scraped,2026-03,121556,19740.0,5586.0,19761.0,0.1623942874066274,0.045954128138471155,0.1625670472868472
scraped,2026-04,159250,25577.0,7304.0,26811.0,0.16060910518053376,0.045864992150706434,0.16835792778649922
