conf_bin,total,swe,adjacent,control
0.3-0.5,74142,0.0,0.0,3132.0
0.5-0.7,53221,0.0,0.0,1156.0
0.7-0.85,19458,0.0,19458.0,0.0
0.85-1.0,11507,5964.0,5248.0,0.0
1.0,181598,62173.0,0.0,119405.0
<0.3,898766,0.0,0.0,36834.0
