boundary_class,source,period,swe,adjacent,control,total
AI Engineer,kaggle_arshkon,2024-04,37.0,4.0,0.0,56
AI Engineer,kaggle_asaniczka,2024-01,40.0,3.0,0.0,66
AI Engineer,scraped,2026-03,716.0,21.0,0.0,836
AI Engineer,scraped,2026-04,953.0,26.0,0.0,1092
Data Engineer,kaggle_arshkon,2024-04,338.0,13.0,0.0,369
Data Engineer,kaggle_asaniczka,2024-01,965.0,55.0,0.0,1076
Data Engineer,scraped,2026-03,1490.0,39.0,0.0,1567
Data Engineer,scraped,2026-04,1972.0,29.0,0.0,2042
DevOps/SRE/Platform,kaggle_arshkon,2024-04,372.0,7.0,0.0,397
DevOps/SRE/Platform,kaggle_asaniczka,2024-01,933.0,14.0,0.0,986
DevOps/SRE/Platform,scraped,2026-03,1486.0,13.0,0.0,1542
DevOps/SRE/Platform,scraped,2026-04,2030.0,20.0,0.0,2105
ML Engineer,kaggle_arshkon,2024-04,111.0,3.0,0.0,142
ML Engineer,kaggle_asaniczka,2024-01,256.0,41.0,0.0,437
ML Engineer,scraped,2026-03,889.0,48.0,1.0,1102
ML Engineer,scraped,2026-04,1190.0,82.0,2.0,1466
Other,kaggle_arshkon,2024-04,3351.0,1977.0,8614.0,108242
Other,kaggle_asaniczka,2024-01,12526.0,7831.0,105336.0,838431
Other,scraped,2026-03,13654.0,4046.0,19754.0,112038
Other,scraped,2026-04,17229.0,5363.0,26807.0,146669
QA/Test Engineer,kaggle_arshkon,2024-04,79.0,183.0,0.0,482
QA/Test Engineer,kaggle_asaniczka,2024-01,510.0,1029.0,4.0,2925
QA/Test Engineer,scraped,2026-03,380.0,552.0,2.0,2006
QA/Test Engineer,scraped,2026-04,592.0,689.0,0.0,2650
Security Engineer,kaggle_arshkon,2024-04,1.0,205.0,0.0,206
Security Engineer,kaggle_asaniczka,2024-01,0.0,404.0,0.0,404
Security Engineer,scraped,2026-03,15.0,810.0,0.0,825
Security Engineer,scraped,2026-04,13.0,1025.0,0.0,1038
Solutions/Systems/Infra,kaggle_arshkon,2024-04,402.0,4.0,0.0,466
Solutions/Systems/Infra,kaggle_asaniczka,2024-01,2899.0,43.0,1.0,3201
Solutions/Systems/Infra,scraped,2026-03,1110.0,57.0,4.0,1640
Solutions/Systems/Infra,scraped,2026-04,1598.0,70.0,2.0,2188
