title_normalized,n
quality engineer,1491
data scientist,1484
network engineer,1328
data analyst,1204
architect,467
solutions architect,392
security engineer,344
systems administrator,261
system administrator,194
cyber security engineer,176
data architect,173
database administrator,164
solution architect,159
cybersecurity engineer,135
network security engineer,124
analytics engineer,121
enterprise architect,120
systems analyst,102
. network engineer,99
security architect,98
cloud security engineer,95
cloud architect,94
application security engineer,92
information security engineer,86
. quality engineer,82
system analyst,73
cloud security architect,71
application analyst,62
. data scientist,52
servicenow architect,52
. data analyst,50
technical architect,46
product security engineer,42
qa manager,40
cloud network engineer,40
network engineer with security clearance,38
qa analyst,38
"manager, platform engineering",37
application architect,35
oracle database administrator,34
electrical systems engineer,33
sql database administrator,33
cloud solutions architect,31
systems administrator with security clearance,31
systems architect,30
"manager, data engineering",29
", data scientist",29
cloud operations engineer,29
automated test engineer (ate),27
ai scientist,26
