swe_classification_tier,total,swe,adjacent,control,avg_confidence
unresolved,1026129,0.0,0.0,41122.0,0.06471420427918789
regex,192483,62173.0,10885.0,119405.0,0.9898209192500015
title_lookup_llm,10370,4827.0,5248.0,0.0,0.8746962391513976
embedding_adjacent,8573,0.0,8573.0,0.0,0.7611793668089621
embedding_high,1137,1137.0,0.0,0.0,0.893853123552881
