title_normalized,n
accountant,8200
registered nurse,3773
electrical engineer,3433
financial analyst,2718
mechanical engineer,2615
accounting manager,2506
registered nurse (rn),1429
nurse practitioner,1129
civil engineer,965
. accountant,678
tax accountant,660
nurse,418
travel nurse - rn - ms - medical surgical,408
property accountant,404
project accountant,369
cost accountant,359
. financial analyst,303
registered nurse - rn,260
nurse manager,255
accounting clerk,248
licensed practical nurse,220
. electrical engineer,206
family nurse practitioner,202
travel nurse - rn - er - emergency room,189
registered nurse/rn,182
fund accountant,175
registered nurse rn,168
nurse practitioner- prn/part time,166
nurse practitioner or physician assistant - prn/part time,164
hospice registered nurse,162
corporate accountant,159
licensed practical nurse (lpn),158
travel nurse - rn - tele - telemetry,138
accounting supervisor,135
registered nurse - rn - ltac,131
accounting assistant,131
nurse practitioner or physician assistant,127
. mechanical engineer,127
rn registered nurse,127
school nurse,121
outpatient registered nurse - rn,114
nurse supervisor,113
revenue accountant,112
accounting manager/supervisor,111
certified registered nurse anesthetist (crna),110
registered nurse case manager,108
director of nursing,107
travel nurse - rn - icu - intensive care unit,106
certified nursing assistant (cna),106
registered nurse - intensive care unit,103
