cluster_id,n_total,n_2024,n_2026,growth_ratio,top_terms,top_companies
0,253,34,219,6.44,data; experience; ai; learning; models; engineering; science; systems; development; design; technical; machine; machine learning; solutions; strong,BioSpace (11); Optum (9); Genentech (6); CVS Health (5); WHOOP (4); GE HealthCare (4); UT MD Anderson (4); Biohub (3)
1,4616,483,4133,8.56,data; experience; ai; engineering; systems; design; solutions; technical; models; business; development; learning; strong; work; years,Intuit (32); OpenAI (29); Walmart (23); Harnham (22); Deloitte (21); Microsoft AI (21); Microsoft (21); Anthropic (19)
