period,tier,n,n_ai,period_total,volume_share,ai_rate
2024-01,big_tech,425,20.0,18091,0.023492344259576584,0.047058823529411764
2024-01,rest,17666,330.0,18091,0.9765076557404234,0.0186799501867995
2024-04,big_tech,143,11.0,4668,0.030634104541559553,0.07692307692307693
2024-04,rest,4525,154.0,4668,0.9693658954584404,0.03403314917127072
2026-03,big_tech,855,315.0,11693,0.07312067048661593,0.3684210526315789
2026-03,rest,10838,2380.0,11693,0.926879329513384,0.21959771175493634
2026-04,big_tech,976,369.0,13862,0.07040831048910691,0.3780737704918033
2026-04,rest,12886,3073.0,13862,0.9295916895108931,0.238475865280149
