period,tier,n,n_ai,ai_rate,slice
2024-01,big_tech,426,24.0,0.056338028169014086,baseline
2024-01,rest,17703,509.0,0.02875218889453765,baseline
2024-04,big_tech,143,14.0,0.0979020979020979,baseline
2024-04,rest,4548,196.0,0.04309586631486367,baseline
2026-03,big_tech,1423,545.0,0.38299367533380185,baseline
2026-03,rest,18317,4765.0,0.2601408527597314,baseline
2026-04,big_tech,1796,789.0,0.4393095768374165,baseline
2026-04,rest,23781,6398.0,0.26903830789285565,baseline
2024-04,big_tech,143,14.0,0.0979020979020979,slice_a_arshkon_only_2024
2024-04,rest,4548,196.0,0.04309586631486367,slice_a_arshkon_only_2024
2026-03,big_tech,1423,545.0,0.38299367533380185,slice_a_arshkon_only_2024
2026-03,rest,18317,4765.0,0.2601408527597314,slice_a_arshkon_only_2024
2026-04,big_tech,1796,789.0,0.4393095768374165,slice_a_arshkon_only_2024
2026-04,rest,23781,6398.0,0.26903830789285565,slice_a_arshkon_only_2024
2024-01,big_tech,383,20.0,0.05221932114882506,slice_b_metro_balanced
2024-01,rest,12509,356.0,0.028459509153409546,slice_b_metro_balanced
2024-04,big_tech,108,12.0,0.1111111111111111,slice_b_metro_balanced
2024-04,rest,2662,96.0,0.03606311044327573,slice_b_metro_balanced
2026-03,big_tech,1081,437.0,0.40425531914893614,slice_b_metro_balanced
2026-03,rest,13525,3455.0,0.255452865064695,slice_b_metro_balanced
2026-04,big_tech,1455,655.0,0.45017182130584193,slice_b_metro_balanced
2026-04,rest,17876,4725.0,0.26432087715372565,slice_b_metro_balanced
2024-01,big_tech,426,24.0,0.056338028169014086,slice_c_no_aggregator
2024-01,rest,14760,429.0,0.029065040650406503,slice_c_no_aggregator
2024-04,big_tech,143,14.0,0.0979020979020979,slice_c_no_aggregator
2024-04,rest,4118,183.0,0.044439048081593005,slice_c_no_aggregator
2026-03,big_tech,1400,540.0,0.38571428571428573,slice_c_no_aggregator
2026-03,rest,15024,4000.0,0.26624068157614483,slice_c_no_aggregator
2026-04,big_tech,1796,789.0,0.4393095768374165,slice_c_no_aggregator
2026-04,rest,19389,5324.0,0.27458868430553407,slice_c_no_aggregator
2024-01,big_tech,402,21.0,0.05223880597014925,slice_d_no_multi_location
2024-01,rest,16833,466.0,0.027683716509237805,slice_d_no_multi_location
2024-04,big_tech,136,14.0,0.10294117647058823,slice_d_no_multi_location
2024-04,rest,4439,187.0,0.042126605091236766,slice_d_no_multi_location
2026-03,big_tech,1116,447.0,0.40053763440860213,slice_d_no_multi_location
2026-03,rest,16997,4315.0,0.2538683297052421,slice_d_no_multi_location
2026-04,big_tech,1501,668.0,0.44503664223850764,slice_d_no_multi_location
2026-04,rest,22359,5909.0,0.2642783666532493,slice_d_no_multi_location
