regex,fs_rate_pct,fs_ci,swe_rate_pct,swe_ci,fs_minus_swe_pp,ci_overlap
canonical_broad,26.108647450110865,24.1-28.2,32.32920149899106,31.2-33.4,-6.220554048880195,False
strict_v9like,23.004434589800443,21.1-25.0,27.84664168348227,26.8-28.9,-4.842207093681827,False
tooling_only,22.838137472283815,21.0-24.8,27.16921302969155,26.1-28.2,-4.331075557407738,False
