metro_area,n_2024,n_2026,n_builder_2024,n_builder_2026,n_user_2024,n_user_2026,n_ai_total_2024,n_ai_total_2026,builder_share_2024,builder_share_2026,user_share_of_nonbuilder_2024,user_share_of_nonbuilder_2026,builder_share_delta,user_share_delta,is_tech_hub
Atlanta Metro,584.0,639.0,1.0,52.0,7.0,116.0,8.0,164.0,0.0017123287671232876,0.081377151799687,0.012006861063464836,0.19761499148211242,0.07966482303256373,0.1856081304186476,False
Austin Metro,356.0,709.0,12.0,35.0,5.0,136.0,6.0,163.0,0.033707865168539325,0.04936530324400564,0.014534883720930232,0.20178041543026706,0.015657438075466316,0.18724553170933683,True
Boston Metro,857.0,961.0,9.0,76.0,11.0,150.0,17.0,207.0,0.010501750291715286,0.07908428720083246,0.012971698113207548,0.1694915254237288,0.06858253690911718,0.15651982731052125,True
Charlotte Metro,303.0,656.0,1.0,33.0,1.0,137.0,1.0,168.0,0.0033003300330033004,0.05030487804878049,0.0033112582781456954,0.21990369181380418,0.04700454801577719,0.2165924335356585,False
Chicago Metro,727.0,656.0,6.0,40.0,8.0,117.0,12.0,147.0,0.008253094910591471,0.06097560975609756,0.011095700416088766,0.18993506493506493,0.05272251484550609,0.17883936451897617,False
Columbus Metro,140.0,303.0,1.0,12.0,0.0,53.0,1.0,64.0,0.007142857142857143,0.039603960396039604,0.0,0.18213058419243985,0.03246110325318246,0.18213058419243985,False
Dallas-Fort Worth Metro,849.0,1262.0,9.0,92.0,15.0,233.0,21.0,313.0,0.01060070671378092,0.07290015847860538,0.017857142857142856,0.19914529914529913,0.062299451764824466,0.18128815628815628,False
Denver Metro,554.0,452.0,4.0,9.0,0.0,57.0,1.0,62.0,0.007220216606498195,0.01991150442477876,0.0,0.12866817155756208,0.012691287818280566,0.12866817155756208,False
Detroit Metro,360.0,376.0,6.0,21.0,6.0,48.0,9.0,62.0,0.016666666666666666,0.05585106382978723,0.01694915254237288,0.1352112676056338,0.03918439716312057,0.11826211506326091,False
Houston Metro,233.0,316.0,1.0,17.0,3.0,41.0,4.0,54.0,0.004291845493562232,0.05379746835443038,0.01293103448275862,0.13712374581939799,0.049505622860868154,0.12419271133663937,False
Los Angeles Metro,1007.0,1015.0,25.0,56.0,12.0,119.0,22.0,157.0,0.024826216484607744,0.05517241379310345,0.012219959266802444,0.12408759124087591,0.030346197308495703,0.11186763197407347,False
Miami Metro,217.0,189.0,2.0,12.0,3.0,37.0,5.0,47.0,0.009216589861751152,0.06349206349206349,0.013953488372093023,0.20903954802259886,0.054275473630312335,0.19508605965050585,False
Minneapolis-Saint Paul,260.0,344.0,1.0,20.0,4.0,72.0,5.0,90.0,0.0038461538461538464,0.05813953488372093,0.015444015444015444,0.2222222222222222,0.05429338103756708,0.20677820677820677,False
Nashville Metro,102.0,130.0,1.0,6.0,0.0,27.0,0.0,33.0,0.00980392156862745,0.046153846153846156,0.0,0.21774193548387097,0.036349924585218706,0.21774193548387097,False
New York City Metro,67.0,1228.0,0.0,114.0,1.0,233.0,1.0,321.0,0.0,0.09283387622149837,0.014925373134328358,0.20915619389587073,0.09283387622149837,0.19423082076154238,True
Philadelphia Metro,493.0,510.0,9.0,35.0,5.0,60.0,8.0,86.0,0.018255578093306288,0.06862745098039216,0.010330578512396695,0.12631578947368421,0.050371872887085875,0.11598521096128753,False
Phoenix Metro,352.0,430.0,3.0,19.0,3.0,67.0,5.0,85.0,0.008522727272727272,0.044186046511627906,0.008595988538681949,0.1630170316301703,0.035663319238900634,0.15442104309148835,False
Pittsburgh Metro,204.0,273.0,4.0,19.0,5.0,35.0,8.0,51.0,0.0196078431372549,0.0695970695970696,0.025,0.1377952755905512,0.0499892264598147,0.11279527559055119,False
Portland Metro,116.0,87.0,0.0,1.0,1.0,14.0,1.0,14.0,0.0,0.011494252873563218,0.008620689655172414,0.16279069767441862,0.011494252873563218,0.1541700080192462,False
Raleigh-Durham-Chapel Hill,242.0,363.0,4.0,24.0,1.0,55.0,2.0,75.0,0.01652892561983471,0.06611570247933884,0.004201680672268907,0.16224188790560473,0.049586776859504134,0.1580402072333358,False
Salt Lake City Metro,328.0,1044.0,4.0,112.0,6.0,214.0,8.0,299.0,0.012195121951219513,0.10727969348659004,0.018518518518518517,0.2296137339055794,0.09508457153537053,0.21109521538706089,False
San Diego Metro,265.0,315.0,5.0,22.0,3.0,42.0,5.0,57.0,0.018867924528301886,0.06984126984126984,0.011538461538461539,0.14334470989761092,0.05097334531296796,0.1318062483591494,False
San Francisco Bay Area,1724.0,3215.0,76.0,333.0,87.0,799.0,113.0,1018.0,0.04408352668213457,0.10357698289269052,0.05279126213592233,0.2772380291464261,0.05949345621055595,0.22444676701050376,True
Seattle Metro,759.0,1388.0,18.0,107.0,14.0,359.0,20.0,435.0,0.023715415019762844,0.07708933717579251,0.018893387314439947,0.28024980483996875,0.053373922156029666,0.2613564175255288,True
Tampa Bay Metro,214.0,160.0,1.0,12.0,1.0,34.0,1.0,45.0,0.004672897196261682,0.075,0.004694835680751174,0.22972972972972974,0.07032710280373831,0.22503489404897856,False
Washington DC Metro,2106.0,1890.0,23.0,90.0,23.0,213.0,32.0,275.0,0.010921177587844255,0.047619047619047616,0.011041766682669226,0.11833333333333333,0.03669787003120336,0.10729156665066411,False
