company_name_canonical,n_2024,n_2026,n_ai_2024,n_ai_2026,ai_rate_2024,ai_rate_2026,delta
Capital One,710.0,151.0,28.0,44.0,0.03943661971830986,0.2913907284768212,0.2519541087585113
Google,33.0,466.0,1.0,116.0,0.030303030303030304,0.24892703862660945,0.21862400832357914
JPMorgan Chase & Co.,12.0,389.0,0.0,72.0,0.0,0.18508997429305912,0.18508997429305912
Amazon,173.0,214.0,4.0,81.0,0.023121387283236993,0.37850467289719625,0.35538328561395927
Northrop Grumman,309.0,61.0,0.0,1.0,0.0,0.01639344262295082,0.01639344262295082
Amazon Web Services (AWS),109.0,220.0,4.0,67.0,0.03669724770642202,0.30454545454545456,0.26784820683903254
Walmart,172.0,145.0,12.0,57.0,0.06976744186046512,0.3931034482758621,0.32333600641539695
Motion Recruitment,124.0,139.0,1.0,36.0,0.008064516129032258,0.2589928057553957,0.25092828962636343
Microsoft,20.0,229.0,2.0,140.0,0.1,0.611353711790393,0.511353711790393
Raytheon,146.0,74.0,0.0,0.0,0.0,0.0,0.0
Anduril Industries,52.0,160.0,51.0,158.0,0.9807692307692307,0.9875,0.006730769230769318
Wells Fargo,37.0,168.0,0.0,75.0,0.0,0.44642857142857145,0.44642857142857145
Booz Allen Hamilton,10.0,193.0,1.0,39.0,0.1,0.20207253886010362,0.10207253886010362
Leidos,69.0,130.0,0.0,21.0,0.0,0.16153846153846155,0.16153846153846155
Lockheed Martin,86.0,111.0,0.0,3.0,0.0,0.02702702702702703,0.02702702702702703
CyberCoders,97.0,99.0,0.0,20.0,0.0,0.20202020202020202,0.20202020202020202
Actalent,39.0,153.0,0.0,3.0,0.0,0.0196078431372549,0.0196078431372549
Kforce Inc,99.0,85.0,1.0,19.0,0.010101010101010102,0.2235294117647059,0.21342840166369578
Apex Systems,78.0,104.0,1.0,25.0,0.01282051282051282,0.2403846153846154,0.22756410256410256
NVIDIA,57.0,119.0,11.0,33.0,0.19298245614035087,0.2773109243697479,0.08432846822939705
hackajob,10.0,158.0,0.0,40.0,0.0,0.25316455696202533,0.25316455696202533
BLUE ORIGIN,106.0,50.0,0.0,12.0,0.0,0.24,0.24
Tata Consultancy Services,72.0,84.0,1.0,20.0,0.013888888888888888,0.23809523809523808,0.2242063492063492
Uber,9.0,130.0,0.0,42.0,0.0,0.3230769230769231,0.3230769230769231
Insight Global,61.0,77.0,1.0,14.0,0.01639344262295082,0.18181818181818182,0.165424739195231
"Syms Strategic Group, LLC (SSG)",118.0,20.0,0.0,0.0,0.0,0.0,0.0
