period,occupation,seniority,n,mean_desc_len,mean_yoe_llm,n_with_yoe,ai_rate,inflated_rate,n_with_ghost
2024-01,SWE,junior,238,3365.424369747899,2.014388489208633,139,0.012605042016806723,0.1638655462184874,238.0
2024-01,SWE,senior,11603,4157.13444798759,6.554570190466593,9923,0.01887442902697578,0.05231405670947169,11603.0
2024-01,control,junior,1684,3868.2066508313537,1.0011587485515643,863,0.0,0.0029691211401425177,1684.0
2024-01,control,senior,2137,3742.8872250818904,4.759637188208616,1764,0.0014038371548900327,0.022641509433962263,2120.0
2024-04,SWE,junior,177,3476.598870056497,1.4606741573033708,89,0.05084745762711865,0.0903954802259887,177.0
2024-04,SWE,senior,2024,3743.3117588932805,6.52625,1600,0.03903162055335968,0.06175889328063241,2024.0
2024-04,control,junior,1348,3372.16765578635,1.0113636363636365,704,0.0,0.00370919881305638,1348.0
2024-04,control,senior,1183,3645.27303465765,4.862385321100917,981,0.0,0.029711375212224108,1178.0
2026-03,SWE,junior,628,5279.386942675159,1.3577981651376148,218,0.22611464968152867,0.044585987261146494,628.0
2026-03,SWE,senior,5624,5417.2160384068275,6.349580176121237,4883,0.24662162162162163,0.040896159317211946,5624.0
2026-03,control,junior,707,4731.022630834512,1.0343980343980343,407,0.0,0.007072135785007072,707.0
2026-03,control,senior,1404,4780.809116809117,5.197262479871176,1242,0.009259259259259259,0.013629842180774749,1394.0
2026-04,SWE,junior,561,4796.360071301247,1.2397003745318351,267,0.2281639928698752,0.06417112299465241,561.0
2026-04,SWE,senior,6529,5341.781283504365,6.367470956210902,5595,0.27707152703323634,0.04612319950965369,6526.0
2026-04,control,junior,644,4677.166149068323,0.9481481481481482,405,0.0,0.006211180124223602,644.0
2026-04,control,senior,1450,4784.940689655173,5.301751592356688,1256,0.02,0.017445917655268667,1433.0
