company_name_canonical,n,n_junior,junior_rate
Hire'in Solutions,10,2.0,0.2
Brooksource,15,2.0,0.13333333333333333
General Dynamics Mission Systems,19,2.0,0.10526315789473684
Abbott,10,1.0,0.1
ConsultNet Technology Services and Solutions,10,1.0,0.1
"Yoh, A Day & Zimmermann Company",11,1.0,0.09090909090909091
Cynet Systems,12,1.0,0.08333333333333333
Peraton,74,6.0,0.08108108108108109
Parsons Corporation,13,1.0,0.07692307692307693
SAIC,14,1.0,0.07142857142857142
Leidos,43,3.0,0.06976744186046512
Experis,18,1.0,0.05555555555555555
Insight Global,56,3.0,0.05357142857142857
CACI International Inc,38,2.0,0.05263157894736842
General Dynamics Information Technology,27,1.0,0.037037037037037035
Haystack,113,4.0,0.035398230088495575
Boeing,38,1.0,0.02631578947368421
hackajob,91,1.0,0.01098901098901099
Booz Allen Hamilton,102,1.0,0.00980392156862745
Amazon,114,1.0,0.008771929824561403
Jobs via Dice,599,2.0,0.00333889816360601
Google,244,0.0,0.0
JPMorgan Chase & Co.,156,0.0,0.0
Microsoft,141,0.0,0.0
Amazon Web Services (AWS),126,0.0,0.0
Walmart,94,0.0,0.0
Wells Fargo,90,0.0,0.0
NVIDIA,86,0.0,0.0
Motion Recruitment,79,0.0,0.0
Anduril Industries,79,0.0,0.0
