period,seniority_3level,n,n_ai_raw,n_ai_core,rate_raw,rate_core
2024-01,junior,238,3.0,3.0,0.012605042016806723,0.012605042016806723
2024-01,mid,39,1.0,1.0,0.02564102564102564,0.02564102564102564
2024-01,senior,11633,353.0,219.0,0.030344709017450358,0.01882575431960801
2024-01,unknown,6215,176.0,127.0,0.02831858407079646,0.020434432823813353
2024-04,junior,177,10.0,9.0,0.05649717514124294,0.05084745762711865
2024-04,mid,15,0.0,0.0,0.0,0.0
2024-04,senior,2030,103.0,79.0,0.05073891625615764,0.03891625615763547
2024-04,unknown,2465,97.0,77.0,0.039350912778904665,0.03123732251521298
2026-03,junior,636,162.0,142.0,0.25471698113207547,0.22327044025157233
2026-03,mid,52,15.0,11.0,0.28846153846153844,0.21153846153846154
2026-03,senior,5691,1626.0,1387.0,0.2857142857142857,0.24371815146722897
2026-03,unknown,5431,1349.0,1155.0,0.24838887865954704,0.2126680169397901
2026-04,junior,567,150.0,128.0,0.26455026455026454,0.2257495590828924
2026-04,mid,69,21.0,16.0,0.30434782608695654,0.2318840579710145
2026-04,senior,6612,2090.0,1809.0,0.3160919540229885,0.2735934664246824
2026-04,unknown,6764,1725.0,1487.0,0.2550266114725015,0.21984033116499113
