method,n,spearman,p
level_2026_raw,17,0.8599534556645483,9.591230107727642e-06
level_2026_core,17,0.8980371087011211,9.954452930068128e-07
level_2024_raw,17,0.5814392182922351,0.014360531657135082
level_2024_core,17,0.7568456257516546,0.0004363044175780542
delta_raw,17,0.7850146545280662,0.0001893975712830528
delta_core,17,0.8316978421212845,3.4912430328966783e-05
