period,seniority_3level,n_labeled,mean_yoe,sd_yoe
2024-01,junior,139,2.014388489208633,1.6896342607022992
2024-01,mid,32,4.0,3.1622776601683795
2024-01,senior,9947,6.553131597466573,3.023280371679929
2024-01,unknown,4647,5.114697654400689,3.07384597688033
2024-04,junior,89,1.4606741573033708,1.0772036586298224
2024-04,mid,13,3.0,2.5495097567963927
2024-04,senior,1604,6.538653366583541,2.651357482706796
2024-04,unknown,1748,4.739702517162471,2.5527704340831985
2026-03,junior,220,1.3681818181818182,1.3500841724601
2026-03,mid,39,2.871794871794872,1.6251232694862383
2026-03,senior,4941,6.346690953248331,2.6929627287653553
2026-03,unknown,4171,4.383121553584273,2.578353524296534
2026-04,junior,270,1.2296296296296296,1.2068006844776085
2026-04,mid,56,2.357142857142857,1.4450991967030113
2026-04,senior,5674,6.369756785336623,2.6922877974709585
2026-04,unknown,5140,4.498832684824903,2.652508863012778
