period,source,n,n_junior,junior_rate
2024-01,kaggle_asaniczka,18124,90.0,0.004965791216067094
2024-04,kaggle_arshkon,4687,48.0,0.01024109238318754
2026-03,scraped,11808,92.0,0.007791327913279133
2026-04,scraped,14007,110.0,0.007853216249018347
