period,analysis_group,ai_mentioned,n,mean_obs,median_obs,mean_days,p90_days
2026-03,control,False,6585,1.237965072133637,1.0,2.6540622627182993,21
2026-03,control,True,26,1.5,1.0,7.576923076923077,22
2026-03,swe,False,8998,1.4465436763725272,1.0,4.4562124916648145,22
2026-03,swe,True,2695,1.4708719851576995,1.0,5.057142857142857,22
2026-03,swe_adjacent,False,4466,1.373936408419167,1.0,3.7548141513658755,21
2026-03,swe_adjacent,True,1094,1.4159049360146252,1.0,4.575868372943328,22
2026-04,control,False,7145,1.0859342197340798,1.0,0.19636109167249824,0
2026-04,control,True,45,1.2222222222222223,1.0,0.4,1
2026-04,swe,False,10414,1.1554637987324756,1.0,0.30766276166698675,1
2026-04,swe,True,3440,1.1616279069767441,1.0,0.30348837209302326,1
2026-04,swe_adjacent,False,5629,1.1224018475750577,1.0,0.23805294013146208,1
2026-04,swe_adjacent,True,1619,1.1365040148239653,1.0,0.25633106856084004,1
