period,seniority_3level,n,n_with_yoe,mean_yoe,median_yoe,sd_yoe,p90_yoe
2024-01,junior,238,139,2.014388489208633,2.0,1.6896342607022992,5.0
2024-01,mid,39,32,4.0,3.0,3.1622776601683786,9.800000000000004
2024-01,senior,11633,9947,6.553131597466573,6.0,3.023280371679932,10.0
2024-01,unknown,6215,4647,5.114697654400689,5.0,3.0738459768803317,8.0
2024-04,junior,177,89,1.4606741573033708,1.0,1.0772036586298226,3.0
2024-04,mid,15,13,3.0,2.0,2.5495097567963922,7.400000000000002
2024-04,senior,2030,1604,6.538653366583541,6.0,2.651357482706796,10.0
2024-04,unknown,2465,1748,4.739702517162471,5.0,2.5527704340832007,8.0
2026-03,junior,636,220,1.3681818181818182,1.0,1.3500841724600998,3.0
2026-03,mid,52,39,2.871794871794872,3.0,1.625123269486238,5.200000000000003
2026-03,senior,5691,4941,6.346690953248331,5.0,2.692962728765356,10.0
2026-03,unknown,5431,4171,4.383121553584273,4.0,2.578353524296535,8.0
2026-04,junior,567,270,1.2296296296296296,1.0,1.2068006844776082,3.0
2026-04,mid,69,56,2.357142857142857,2.0,1.445099196703011,4.0
2026-04,senior,6612,5674,6.369756785336623,5.0,2.6922877974709607,10.0
2026-04,unknown,6764,5139,4.498735162482974,4.0,2.652757761363473,8.0
