method,x,y,n,spearman,spearman_p,kendall,pearson,spearman_fisher_lo,spearman_fisher_hi,spearman_boot_lo,spearman_boot_hi
M1_headline_canonical,worker_any_mid,employer_canonical_2026,17,0.8980371087011211,9.954452930068128e-07,0.7762058642344917,0.7495302990809346,0.734376133230158,0.9630108977870669,0.6599744091933446,0.9851360441913201
M2_headline_strict_v1,worker_any_mid,employer_strict_v1_2026,17,0.9071926915426417,5.051706387817226e-07,0.771584287041266,0.6817350564898631,0.7563408279941477,0.9664354418946718,0.7282728361252068,0.9749508707251119
M3_2024_levels_canonical,worker_any_mid,employer_canonical_2024,17,0.7568456257516546,0.0004363044175780542,0.6365239496641677,0.4991397929282477,0.4341237411974617,0.9074014409904355,0.40526879602913646,0.9302063875194175
M4_delta_canonical,worker_any_mid,delta_2026_2024_canonical,17,0.8378403668046027,2.6919931171630838e-05,0.686643649130512,0.7648499809879548,0.598020669492856,0.9399599067102821,0.5624449756189289,0.9663881137089098
M5_daily_use_canonical,worker_daily_mid,employer_canonical_2026,17,0.9023956370827138,7.267368511383492e-07,0.7807176979158402,0.8352538910057346,0.7447898826653869,0.9646437786634235,0.6871072158764235,0.9850384131887905
M6_thick_only_canonical,worker_any_mid,employer_canonical_2026,12,0.8000049246376544,0.001781636452460218,0.6462303276414968,0.767250314247611,0.4180317812851679,0.9415967585914505,0.3285714285714285,0.9760818462443154
M7_control_only,worker_any_mid,employer_canonical_2026,6,0.6377481392176932,0.17307111024125976,0.5520524474738834,0.3355455113775151,-0.3602880211901569,0.9550187462523156,-0.6000000000000001,1.0
M8_tech_only,worker_any_mid,employer_canonical_2026,11,0.885853984055813,0.0002840889584498472,0.759389481241052,0.7396837216409728,0.6102859370136394,0.9701759022787267,0.5817432121550941,1.0
M9_drop_mlengineer,worker_any_mid,employer_canonical_2026,16,0.8775849391618951,7.94482870542557e-06,0.7458698539828915,0.8071849825976524,0.6759212653543641,0.9569810101607271,0.6074574186490143,0.9819330895008606
M10_worker_max_any,worker_any_max,employer_canonical_2026,17,0.8882090692078121,1.927336215191992e-06,0.7612788283838284,0.7237641244430093,0.7111735771072766,0.9593113221546555,0.655013958025804,0.984404919431021
M11_worker_min_any,worker_any_min,employer_canonical_2026,17,0.9103221580677575,3.9423700599510474e-07,0.8060599359358184,0.7724575419066071,0.7639273895764028,0.9676011760651488,0.6716347361541976,0.9918094117996784
