title_norm,n_2024,n_2026,n_ai_2024,n_ai_2026,share_2024,share_2026,share_delta_pp
software engineer [multiple positions available],0.0,52.0,0.0,2.0,0.0,0.006795608991113434,0.6795608991113434
ai/ml engineer,1.0,36.0,0.0,28.0,0.00011233430689732644,0.004704652378463147,0.4592318071565821
founding engineer,4.0,34.0,2.0,21.0,0.00044933722758930576,0.004443282801881861,0.3993945574292555
