period,n_labeled,n_ai_labeled,n_inflated,n_ghost,n_swe_llm,ai_rate_labeled,inflated_rate,ghost_rate
2024-01,18108,350.0,1063.0,38.0,13001.0,0.01932847360282748,0.05870333554230175,0.0020985199911641265
2024-04,4687,165.0,336.0,18.0,3793.0,0.03520375506720717,0.07168764668231278,0.0038404096436953274
2026-03,11736,2695.0,570.0,27.0,10225.0,0.22963531015678254,0.04856850715746421,0.0023006134969325155
2026-04,13908,3439.0,777.0,20.0,11989.0,0.24726775956284153,0.05586712683347714,0.0014380212827149843
