period,vol_bucket,n,n_junior,junior_rate
2024-01,a_1,2915,27.0,0.009262435677530018
2024-01,b_2_5,4185,13.0,0.003106332138590203
2024-01,c_6_25,4140,18.0,0.004347826086956522
2024-01,d_26_100,3869,15.0,0.003876970793486689
2024-01,e_100plus,3015,17.0,0.005638474295190713
2024-04,a_1,1585,14.0,0.008832807570977918
2024-04,b_2_5,1553,18.0,0.01159047005795235
2024-04,c_6_25,1153,11.0,0.009540329575021683
2024-04,d_26_100,352,4.0,0.011363636363636364
2026-03,a_1,2167,25.0,0.011536686663590217
2026-03,b_2_5,3186,17.0,0.0053358443188951665
2026-03,c_6_25,2678,26.0,0.009708737864077669
2026-03,d_26_100,2696,20.0,0.00741839762611276
2026-03,e_100plus,1081,4.0,0.0037002775208140612
2026-04,a_1,2560,24.0,0.009375
2026-04,b_2_5,3846,33.0,0.00858034321372855
2026-04,c_6_25,3421,28.0,0.008184741303712365
2026-04,d_26_100,2585,17.0,0.0065764023210831725
2026-04,e_100plus,1595,8.0,0.005015673981191223
