family_id,period,best_period_topic,best_cosine,n_in_period
0,2024,0,0.9996489882469177,3955
1,2024,4,0.9810616374015808,1571
2,2024,5,0.9558336138725281,1196
3,2024,2,0.9674508571624756,1572
4,2024,35,0.9611721634864807,813
5,2024,19,0.977908194065094,399
6,2024,1,0.998350977897644,766
7,2024,21,0.949253499507904,371
8,2024,6,0.9772327542304993,515
9,2024,22,0.9437457323074341,445
10,2024,18,0.997572660446167,193
11,2024,23,0.9747474193572998,125
12,2024,37,0.9608397483825684,172
13,2024,8,0.9959002733230591,217
14,2024,10,0.9953337907791138,181
15,2024,25,0.9624536037445068,202
16,2024,26,0.9991077184677124,114
17,2024,38,0.8366646766662598,70
18,2024,53,0.8276231288909912,67
19,2024,28,0.9993945956230164,102
20,2024,43,0.9644097089767456,98
21,2024,54,0.9548805952072144,73
22,2024,52,0.9976971745491028,43
23,2024,7,0.7824963331222534,16
24,2024,36,0.9965693354606628,59
25,2024,39,0.8514622449874878,23
26,2024,16,0.7650049924850464,24
27,2024,58,0.9980295896530151,35
28,2024,35,0.7558702230453491,13
0,2026,0,0.9543388485908508,9085
1,2026,2,0.9924111366271973,2001
2,2026,3,0.9758298397064209,1138
3,2026,5,0.968583345413208,721
4,2026,38,0.9371311664581299,955
5,2026,1,0.9984688758850098,1203
6,2026,4,0.9941267967224121,761
7,2026,43,0.9707939624786377,518
8,2026,23,0.9716047644615173,230
9,2026,14,0.976831316947937,255
10,2026,7,0.9997237324714661,362
11,2026,41,0.9463191628456116,312
12,2026,45,0.9247345924377441,217
13,2026,18,0.9925335645675659,84
14,2026,36,0.9972214102745056,97
15,2026,58,0.8499231934547424,75
16,2026,25,0.99937903881073,126
17,2026,17,0.9872428178787231,144
18,2026,52,0.9594086408615112,119
19,2026,73,0.9935004711151123,53
20,2026,22,0.9619079828262329,38
21,2026,27,0.9854440093040466,58
22,2026,49,0.979094386100769,84
23,2026,76,0.9648056030273438,71
24,2026,3,0.899750828742981,25
25,2026,19,0.7913695573806763,31
26,2026,27,0.7379709482192993,23
28,2026,34,0.7660188674926758,28
