family_split,n,n_2024,n_2026,growth_ratio,n_swe,n_swe_adjacent,share_swe,ai_rate_2024,ai_rate_2026
0_nonAI,8073,3435,4638,1.3501164144353899,4545,3528,0.5629877369007804,0.0,0.0
0_AI,4967,520,4447,8.53742802303263,3685,1282,0.7418965170122811,1.0,1.0
1,3572,1571,2001,1.2735368956743003,2855,717,0.7992721164613662,0.008911521323997454,0.15692153923038482
2,2334,1196,1138,0.9515455304928989,1953,381,0.8367609254498715,0.0016722408026755853,0.04481546572934974
3,2293,1572,721,0.4589955499046408,2234,59,0.9742695159180114,0.0031806615776081423,0.11789181692094314
4,1768,813,955,1.1744471744471745,1695,73,0.958710407239819,0.008610086100861008,0.18848167539267016
5,1602,399,1203,3.01,537,1065,0.3352059925093633,0.017543859649122806,0.20698254364089774
6,1527,766,761,0.9934810951760105,130,1397,0.08513425016371971,0.0013054830287206266,0.08541392904073587
7,889,371,518,1.3951612903225807,882,7,0.9921259842519685,0.0026954177897574125,0.13513513513513514
8,745,515,230,0.4476744186046512,241,504,0.32348993288590605,0.02524271844660194,0.1
9,700,445,255,0.5739910313901345,444,256,0.6342857142857142,0.008988764044943821,0.07058823529411765
10,555,193,362,1.8711340206185567,382,173,0.6882882882882883,0.0,0.143646408839779
11,437,125,312,2.484126984126984,393,44,0.8993135011441648,0.04,0.17307692307692307
12,389,172,217,1.260115606936416,343,46,0.8817480719794345,0.011627906976744186,0.22580645161290322
13,301,217,84,0.38990825688073394,280,21,0.9302325581395349,0.0,0.13095238095238096
14,278,181,97,0.5384615384615384,140,138,0.5035971223021583,0.0,0.010309278350515464
15,277,202,75,0.37438423645320196,208,69,0.7509025270758123,0.0,0.013333333333333334
16,240,114,126,1.1043478260869566,227,13,0.9458333333333333,0.008771929824561403,0.05555555555555555
17,214,70,144,2.0422535211267605,187,27,0.8738317757009346,0.014285714285714285,0.16666666666666666
18,186,67,119,1.7647058823529411,153,33,0.8225806451612904,0.22388059701492538,0.3445378151260504
19,155,102,53,0.5242718446601942,4,151,0.025806451612903226,0.0,0.0
20,136,98,38,0.3939393939393939,127,9,0.9338235294117647,0.0,0.02631578947368421
21,131,73,58,0.7972972972972973,113,18,0.8625954198473282,0.0,0.017241379310344827
22,127,43,84,1.9318181818181819,120,7,0.9448818897637795,0.0,0.27380952380952384
23,87,16,71,4.235294117647059,49,38,0.5632183908045977,0.0,0.09859154929577464
24,84,59,25,0.43333333333333335,78,6,0.9285714285714286,0.05084745762711865,0.0
25,54,23,31,1.3333333333333333,49,5,0.9074074074074074,0.0,0.2903225806451613
26,47,24,23,0.96,33,14,0.7021276595744681,0.041666666666666664,0.17391304347826086
27,44,35,9,0.2777777777777778,27,17,0.6136363636363636,0.0,0.1111111111111111
28,41,13,28,2.0714285714285716,41,0,1.0,0.0,0.17857142857142858
