op,period,n,mean_yoe,median_yoe,p75_yoe,mean_desc_len
BASELINE_unlabelled_yoe_le2,2024-01,1076,1.679368029739777,2.0,2.0,4188.558550185873
BASELINE_unlabelled_yoe_le2,2024-04,346,1.6907514450867052,2.0,2.0,4020.416184971098
BASELINE_unlabelled_yoe_le2,2026-03,1030,1.6737864077669904,2.0,2.0,5214.317475728155
BASELINE_unlabelled_yoe_le2,2026-04,1185,1.629535864978903,2.0,2.0,5188.771308016878
OP_A_junior_title,2024-01,69,2.3333333333333335,2.0,3.0,2807.550724637681
OP_A_junior_title,2024-04,38,1.7142857142857142,1.0,3.0,3274.5526315789475
OP_A_junior_title,2026-03,75,1.7954545454545454,1.0,2.0,4361.2
OP_A_junior_title,2026-04,87,1.5789473684210527,1.0,2.0,3965.367816091954
OP_A2_junior_jr_title,2024-01,90,2.2542372881355934,2.0,3.0,2805.6444444444446
OP_A2_junior_jr_title,2024-04,48,1.76,2.0,3.0,3360.7916666666665
OP_A2_junior_jr_title,2026-03,92,1.7627118644067796,2.0,2.0,4330.184782608696
OP_A2_junior_jr_title,2026-04,110,1.5405405405405406,1.0,2.0,3967.6
OP_B_explicit_entry_family,2024-01,177,2.532258064516129,2.0,4.0,3539.502824858757
OP_B_explicit_entry_family,2024-04,89,1.803921568627451,2.0,2.0,3840.921348314607
OP_B_explicit_entry_family,2026-03,330,2.453333333333333,2.0,3.0,5601.621212121212
OP_B_explicit_entry_family,2026-04,285,1.9230769230769231,2.0,3.0,4927.456140350877
OP_C_junior_in_desc,2024-01,1529,5.990922844175492,5.0,8.0,4550.860693263571
OP_C_junior_in_desc,2024-04,451,5.649425287356322,5.0,8.0,4165.90243902439
OP_C_junior_in_desc,2026-03,1388,5.690987124463519,5.0,7.0,5729.14409221902
OP_C_junior_in_desc,2026-04,1629,5.546104360257327,5.0,7.0,5476.216083486802
OP_E_levelcode_title,2024-01,371,4.963076923076923,4.0,6.0,4349.638814016173
OP_E_levelcode_title,2024-04,143,2.764705882352941,2.0,3.0,4604.083916083916
OP_E_levelcode_title,2026-03,560,3.272349272349272,3.0,4.0,5821.558928571429
OP_E_levelcode_title,2026-04,632,3.452252252252252,3.0,4.0,5676.335443037975
OP_F_any_explicit_title,2024-01,546,4.3042505592841165,3.0,5.0,4086.3772893772893
OP_F_any_explicit_title,2024-04,231,2.4911242603550297,2.0,3.0,4298.030303030303
OP_F_any_explicit_title,2026-03,881,3.0896,2.0,4.0,5754.7854710556185
OP_F_any_explicit_title,2026-04,912,3.077445652173913,2.0,4.0,5436.574561403509
