period_bucket,n_swe,n_fde_title,n_fde_combined,fde_share,fde_combined_share
2024,22812,3.0,6.0,0.0001315097317201473,0.0002630194634402946
2026,25822,52.0,130.0,0.002013786693517156,0.00503446673379289
