period,analysis_group,n,n_ai,ai_rate
2024-01,control,14029,36.0,0.0025661130515361036
2024-01,swe,18125,533.0,0.029406896551724137
2024-01,swe_adjacent,9417,234.0,0.024848677922905384
2024-04,control,8611,20.0,0.0023226106143305076
2024-04,swe,4687,210.0,0.044804779176445486
2024-04,swe_adjacent,2394,94.0,0.03926482873851295
2026-03,control,6716,73.0,0.010869565217391304
2026-03,swe,11810,3152.0,0.2668924640135478
2026-03,swe_adjacent,5586,1220.0,0.2184031507339778
2026-04,control,7310,100.0,0.013679890560875513
2026-04,swe,14012,3986.0,0.28447045389666
2026-04,swe_adjacent,7303,1782.0,0.24400931124195535
