period,tier,n,n_ai,ai_rate,period_total,volume_share
2024-01,big_tech,425,20.0,0.047058823529411764,18087,0.023497539669375796
2024-01,rest,17662,330.0,0.018684180726984488,18087,0.9765024603306242
2024-04,big_tech,143,11.0,0.07692307692307693,4664,0.030660377358490566
2024-04,rest,4521,154.0,0.0340632603406326,4664,0.9693396226415094
2026-03,big_tech,855,315.0,0.3684210526315789,11693,0.07312067048661593
2026-03,rest,10838,2380.0,0.21959771175493634,11693,0.926879329513384
2026-04,big_tech,976,369.0,0.3780737704918033,13854,0.07044896780713152
2026-04,rest,12878,3071.0,0.2384687063208573,13854,0.9295510321928685
