theme,2024,2026,total,growth_ratio
noise,297,2319,2616,7.81
llm_agents_infra,11,557,568,50.64
unlabeled,49,496,545,10.12
ml_ops_deployment,79,444,523,5.62
classical_data_science,29,316,345,10.9
foundation_research,49,248,297,5.06
applied_ml_ranking_forecast,6,54,60,9.0
data_platform_analytics,0,13,13,inf
