analysis_group,sg,n_2024,n_2026,rate_core_2024,rate_core_2026,rate_raw_2024,rate_raw_2026,delta_raw,delta_core,worker_any_mid
control,accountant,4495,2910,0.0004449388209121246,0.007903780068728522,0.0006674082313681868,0.014089347079037801,0.013421938847669615,0.0074588412478163975,0.5
control,civil_engineer,275,424,0.0,0.007075471698113208,0.0,0.02358490566037736,0.02358490566037736,0.007075471698113208,0.22
control,electrical_engineer,788,1115,0.0012690355329949238,0.016143497757847534,0.007614213197969543,0.05201793721973094,0.0444037240217614,0.01487446222485261,0.3
control,financial_analyst,765,874,0.0,0.017162471395881007,0.00392156862745098,0.030892448512585814,0.026970879885134833,0.017162471395881007,0.3
control,mechanical_engineer,540,967,0.0,0.010341261633919338,0.001851851851851852,0.025853154084798345,0.024001302232946494,0.010341261633919338,0.25
control,nurse,13101,6801,0.0,0.00014703720041170417,0.0030532020456453704,0.0007351860020585208,-0.0023180160435868494,0.00014703720041170417,0.15
swe,other_swe,22442,23958,0.016175028963550487,0.1992653810835629,0.02579983958648962,0.23879288755321812,0.2129930479667285,0.1830903521200124,0.79
swe_adjacent,data_analyst,556,820,0.01079136690647482,0.0475609756097561,0.014388489208633094,0.06829268292682927,0.05390419371819618,0.036769608703281276,0.6
swe_adjacent,data_engineer,24,145,0.041666666666666664,0.27586206896551724,0.041666666666666664,0.30344827586206896,0.2617816091954023,0.23419540229885058,0.75
swe_adjacent,data_scientist,828,2797,0.16304347826086957,0.3964962459778334,0.1751207729468599,0.4211655345012513,0.24604476155439142,0.23345276771696383,0.75
swe_adjacent,devops_engineer,12,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7
swe_adjacent,ml_engineer,37,187,0.7567567567567568,0.8342245989304813,0.8108108108108109,0.8556149732620321,0.04480416245122121,0.07746784217372449,0.85
swe_adjacent,network_engineer,1384,1419,0.0,0.012684989429175475,0.001445086705202312,0.035940803382663845,0.034495716677461534,0.012684989429175475,0.35
swe_adjacent,qa_engineer,1086,940,0.0,0.036170212765957444,0.001841620626151013,0.045744680851063826,0.04390306022491281,0.036170212765957444,0.5
swe_adjacent,security_engineer,884,2456,0.007918552036199095,0.13355048859934854,0.011312217194570135,0.15879478827361562,0.1474825710790455,0.12563193656314944,0.4
swe_adjacent,solutions_architect,902,583,0.019955654101995565,0.2538593481989708,0.031042128603104215,0.27101200686106347,0.23996987825795926,0.23390369409697526,0.65
swe_adjacent,systems_admin,1708,115,0.0,0.017391304347826087,0.000585480093676815,0.034782608695652174,0.03419712860197536,0.017391304347826087,0.4
