hypothesis,scope,metric,core,full,abs_diff_pp
H1/H7,2024-01,ctrl_ai_rate,0.02165752237943979,0.024152644714596248,0.002495122335156457
H1/H7,2024-01,swe_ai_rate,1.9350915021838888,1.9346636449063068,0.0004278572775819889
H1/H7,2024-04,ctrl_ai_rate,0.0,0.0,0.0
H1/H7,2024-04,swe_ai_rate,3.5377358490566038,3.534704370179949,0.0030314788766547807
H1/H7,2026-03,ctrl_ai_rate,0.39328392073816365,0.39310553371635926,0.0001783870218043937
H1/H7,2026-03,swe_ai_rate,23.047977422389465,23.047977422389465,0.0
H1/H7,2026-04,ctrl_ai_rate,0.6258692628650904,0.6252605252188412,0.0006087376462491356
H1/H7,2026-04,swe_ai_rate,24.83037389923488,24.830471793392007,9.789415712901928e-05
H13,2024↔2026 panel,mean_delta_pp,17.749740699146045,17.748931570264734,0.0008091288813112385
H13,2024↔2026 panel,median_delta_pp,16.12837981690441,16.12837981690441,0.0
H13,2024↔2026 panel,pct_up,73.28767123287672,73.28767123287672,0.0
H13,2024↔2026 panel,pct_up_10pp,60.61643835616438,60.61643835616438,0.0
H13,2024↔2026 panel,pct_up_20pp,37.32876712328767,37.32876712328767,0.0
H4,2024-04,nontech_share_of_swe,54.68817204301075,54.67440361057382,0.013768432436933153
H4,2026-03,nontech_share_of_swe,55.20453967985094,55.672662781859636,0.4681231020086969
H4,2026-04,nontech_share_of_swe,54.40074237989864,53.848259679311695,0.5524827005869426
H5a,2026-04 · junior,ai_rate,22.816399286987522,22.816399286987522,0.0
H5a,2026-04 · mid,ai_rate,23.18840579710145,23.18840579710145,0.0
H5a,2026-04 · senior,ai_rate,27.707152703323633,27.716559534741354,0.009406831417720696
H5a,2026-04 · unknown,ai_rate,22.21060492905153,22.200656912511196,0.009948016540334947
