period,n_swe,n_new_ai,new_ai_share
2024-01,18129,285.0,0.015720668542114843
2024-04,4691,134.0,0.028565337881048817
2026-03,19740,1597.0,0.08090172239108409
2026-04,25577,2130.0,0.08327794502873676
