archetype_name,n,ai_rate
models/systems/llm,389,0.7609254498714653
systems/agent/workflows,47,0.6808510638297872
features/backend/rails,92,0.41304347826086957
qualifications/th/display,38,0.3684210526315789
backend/systems/services,107,0.2803738317757009
backend/systems/apis,58,0.22413793103448276
noninternship/software/including_standards,46,0.21739130434782608
noise/outlier,3740,0.19090909090909092
ios/swiftui/features,56,0.17857142857142858
backend/javascript/typescript,311,0.16720257234726688
azure/sql/solutions,49,0.16326530612244897
degree_practical/degree_phd/phd_related,68,0.16176470588235295
intern/internship/pursuing,56,0.16071428571428573
software/systems/requirements,253,0.15810276679841898
pipelines/sql/etl,299,0.1505016722408027
software/solutions/technology,62,0.14516129032258066
kubernetes/terraform/cicd,473,0.13530655391120508
android/kotlin/jetpack,108,0.12962962962962962
angular/java/backend,117,0.1111111111111111
azure/pipelines/solutions,265,0.1018867924528302
perception/models/driving,31,0.0967741935483871
linux/routing/systems,35,0.08571428571428572
java/boot/microservices,316,0.07278481012658228
firmware/software/ethernet,55,0.07272727272727272
scrum/software/sprint,58,0.06896551724137931
software/linux/systems,31,0.06451612903225806
qa/selenium/manual,96,0.0625
us/software/export,33,0.06060606060606061
sql/aspnet/mvc,38,0.05263157894736842
technologies/millions_americans/tech_trends,106,0.04716981132075472
systems/clearance/requirements,205,0.03414634146341464
software/systems/linux,39,0.02564102564102564
clearance/software/required,42,0.023809523809523808
software/requirements/degree,84,0.023809523809523808
software/sql/aspnet,44,0.022727272727272728
customer/customers/application,67,0.0
failure/procedures/ability,85,0.0
