title_lc,n,n_ai
software engineer,20,8.0
senior software engineer,20,6.0
data engineer,12,1.0
senior data engineer,11,1.0
senior backend engineer,5,1.0
senior software development engineer,5,2.0
principal software engineer,4,0.0
front end developer,4,0.0
staff software engineer,4,2.0
staff software development engineer,4,2.0
ai engineer,4,4.0
associate software engineer,3,2.0
senior machine learning engineer,3,2.0
sr software engineer - remote,3,1.0
lead data engineer,3,1.0
senior software engineer - remote,3,2.0
database engineer,3,0.0
staff data engineer,3,2.0
associate software development engineer,3,1.0
embedded software engineer,2,0.0
senior devops engineer,2,1.0
senior ai/ml engineer - remote,2,2.0
software engineer i,2,0.0
"engineer ii, software",2,0.0
"senior software engineer, automations",2,0.0
principal reliability engineer,2,0.0
bioinformatics software engineer,2,1.0
senior site reliability engineer,2,1.0
quality assurance engineer,2,0.0
data engineer iii,2,0.0
software quality engineer i,2,0.0
full stack software engineer,2,0.0
sr. ai engineer,2,2.0
software development engineer,2,0.0
remote senior software engineer,2,0.0
devops engineer (technology specialist i) - digital and technology partners - onsite/hybrid,2,0.0
"remote oncology data engineer - precision medicine - dallas, tx",2,2.0
senior azure cloud engineer (.net + ai tools),2,2.0
lead software engineer,2,2.0
sr software engineer,2,1.0
