period,n,mean_desc_len,mean_core_len,slice
2024-01,18129,3881.4461911853937,2303.7413059103224,baseline
2024-04,4691,3305.6418674056704,1967.5836192109778,baseline
2026-03,19740,4975.147011144883,2616.975369879415,baseline
2026-04,25577,4830.227860968839,2619.3486291486292,baseline
2024-04,4691,3305.6418674056704,1967.5836192109778,slice_a_arshkon_only_2024
2026-03,19740,4975.147011144883,2616.975369879415,slice_a_arshkon_only_2024
2026-04,25577,4830.227860968839,2619.3486291486292,slice_a_arshkon_only_2024
2024-01,12892,3857.2144740924605,2326.53125,slice_b_metro_balanced
2024-04,2770,3397.17761732852,2012.7426497277677,slice_b_metro_balanced
2026-03,14606,4728.124400931124,2541.7350346936373,slice_b_metro_balanced
2026-04,19331,4585.3188660700425,2541.322989720434,slice_b_metro_balanced
2024-01,15186,3804.93138416963,2319.19691170648,slice_c_no_aggregator
2024-04,4261,3358.6421027927718,2001.3836166194524,slice_c_no_aggregator
2026-03,16424,5140.318740867024,2716.1726999273933,slice_c_no_aggregator
2026-04,21185,5063.82846353552,2730.7882863340565,slice_c_no_aggregator
2024-01,17235,3811.366405570061,2295.0168091665214,slice_d_no_multi_location
2024-04,4575,3266.9031693989073,1963.839709762533,slice_d_no_multi_location
2026-03,18113,4878.450063490311,2590.7910853076132,slice_d_no_multi_location
2026-04,23860,4735.45230511316,2592.2257038703174,slice_d_no_multi_location
