period,n,n_positive,rate,slice,finalist
2024-01,18129,533.0,0.02940040818577969,baseline,S1_H1_ai_vocab
2024-04,4691,210.0,0.044766574291195904,baseline,S1_H1_ai_vocab
2026-03,19740,5310.0,0.2689969604863222,baseline,S1_H1_ai_vocab
2026-04,25577,7187.0,0.28099464362513193,baseline,S1_H1_ai_vocab
2024-04,4691,210.0,0.044766574291195904,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2026-03,19740,5310.0,0.2689969604863222,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2026-04,25577,7187.0,0.28099464362513193,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2024-01,7419,302.0,0.03473105222975684,slice_b_metro_balanced,S1_H1_ai_vocab
2024-04,1609,79.0,0.0517784246680959,slice_b_metro_balanced,S1_H1_ai_vocab
2026-03,10151,2929.0,0.2745166116493928,slice_b_metro_balanced,S1_H1_ai_vocab
2026-04,13482,4054.0,0.2907485677512744,slice_b_metro_balanced,S1_H1_ai_vocab
2024-01,15186,453.0,0.02983010667720269,slice_c_no_aggregator,S1_H1_ai_vocab
2024-04,4261,197.0,0.046233278573104906,slice_c_no_aggregator,S1_H1_ai_vocab
2026-03,16424,4540.0,0.2764247442766683,slice_c_no_aggregator,S1_H1_ai_vocab
2026-04,21185,6113.0,0.2885532216190701,slice_c_no_aggregator,S1_H1_ai_vocab
2024-01,17235,487.0,0.028256454888308673,slice_d_no_multi_location,S1_H1_ai_vocab
2024-04,4575,201.0,0.043934426229508196,slice_d_no_multi_location,S1_H1_ai_vocab
2026-03,18113,4762.0,0.2629050957875559,slice_d_no_multi_location,S1_H1_ai_vocab
2026-04,23860,6577.0,0.2756496227996647,slice_d_no_multi_location,S1_H1_ai_vocab
