period,analysis_group,n,n_ai_raw,n_ai_core,rate_raw,rate_core,delta_pp
2024-01,control,14029,36.0,3.0,0.0025661130515361036,0.0002138427542946753,-0.2352270297241428
2024-01,swe,18125,533.0,350.0,0.029406896551724137,0.019310344827586208,-1.009655172413793
2024-01,swe_adjacent,9417,234.0,197.0,0.024848677922905384,0.02091961346501009,-0.3929064457895294
2024-04,control,8611,20.0,0.0,0.0023226106143305076,0.0,-0.23226106143305075
2024-04,swe,4687,210.0,165.0,0.044804779176445486,0.03520375506720717,-0.960102410923832
2024-04,swe_adjacent,2394,94.0,78.0,0.03926482873851295,0.03258145363408521,-0.6683375104427736
2026-03,control,6716,73.0,26.0,0.010869565217391304,0.003871351995235259,-0.6998213222156044
2026-03,swe,11810,3152.0,2695.0,0.2668924640135478,0.22819644369178663,-3.86960203217612
2026-03,swe_adjacent,5586,1220.0,1094.0,0.2184031507339778,0.1958467597565342,-2.2556390977443606
2026-04,control,7310,100.0,45.0,0.013679890560875513,0.006155950752393981,-0.7523939808481532
2026-04,swe,14012,3986.0,3440.0,0.28447045389666,0.24550385383956608,-3.89666000570939
2026-04,swe_adjacent,7303,1782.0,1619.0,0.24400931124195535,0.2216897165548405,-2.2319594687114863
