period,family,n,n_ai,ai_rate
2024-01,chemical engineer,14,0.0,0.0
2024-01,civil engineer,166,0.0,0.0
2024-01,electrical/nuclear engineer,473,4.0,0.008456659619450317
2024-01,finance/accounting,2901,3.0,0.001034126163391934
2024-01,mechanical engineer,313,0.0,0.0
2024-01,nursing,10162,29.0,0.002853768943121433
2024-04,chemical engineer,19,0.0,0.0
2024-04,civil engineer,108,0.0,0.0
2024-04,electrical/nuclear engineer,322,2.0,0.006211180124223602
2024-04,finance/accounting,2360,3.0,0.001271186440677966
2024-04,mechanical engineer,221,1.0,0.004524886877828055
2024-04,nursing,5581,14.0,0.00250851101953055
2026-03,chemical engineer,7,0.0,0.0
2026-03,civil engineer,208,2.0,0.009615384615384616
2026-03,electrical/nuclear engineer,574,23.0,0.04006968641114982
2026-03,finance/accounting,1857,32.0,0.01723209477652127
2026-03,mechanical engineer,472,13.0,0.02754237288135593
2026-03,nursing,3598,3.0,0.0008337965536409116
2026-04,chemical engineer,7,0.0,0.0
2026-04,civil engineer,216,8.0,0.037037037037037035
2026-04,electrical/nuclear engineer,564,40.0,0.07092198581560284
2026-04,finance/accounting,1928,36.0,0.01867219917012448
2026-04,mechanical engineer,472,7.0,0.014830508474576272
2026-04,nursing,4123,9.0,0.00218287654620422
