word,fs_rank,swe_rank,fs_more_than_swe
financial,4,500,496
capital,11,500,489
technology,24,500,476
management,30,500,470
lead,38,500,462
health,39,500,461
salary,44,500,456
platforms,55,500,445
employment,56,500,444
deliver,62,500,438
equal,64,500,436
also,65,500,435
gender,66,500,434
offer,67,500,433
global,69,500,431
applicants,77,500,423
capabilities,78,500,422
based,27,77,50
aws,32,70,38
technologies,42,79,37
practices,33,64,31
through,45,69,24
opportunity,22,41,19
business,10,26,16
help,60,71,11
information,31,42,11
frameworks,51,61,10
disability,35,44,9
solutions,9,18,9
technical,3,6,3
teams,20,23,3
services,18,21,3
including,2,4,2
development,6,7,1
compensation,48,49,1
benefits,13,14,1
about,16,17,1
e.g.,72,72,0
data,0,0,0
time,68,68,0
engineering,1,1,0
cloud,21,20,-1
scalable,58,57,-1
design,7,5,-2
software,5,3,-2
years,12,10,-2
what,41,39,-2
complex,63,60,-3
engineer,25,22,-3
such,37,34,-3
within,79,76,-3
other,19,15,-4
learning,40,36,-4
strong,17,13,-4
code,23,19,-4
range,29,24,-5
applications,36,30,-6
across,15,9,-6
production,52,46,-6
systems,8,2,-6
build,14,8,-6
pipelines,73,65,-8
employees,59,50,-9
application,75,66,-9
ability,50,40,-10
status,46,35,-11
platform,28,16,-12
building,26,11,-15
company,53,38,-15
position,43,27,-16
who,70,53,-17
infrastructure,61,43,-18
performance,49,31,-18
knowledge,71,51,-20
model,76,55,-21
qualifications,54,33,-21
into,47,25,-22
product,34,12,-22
python,57,29,-28
best,74,45,-29
quality,500,78,-422
related,500,75,-425
customer,500,74,-426
computer,500,73,-427
develop,500,67,-433
workflows,500,63,-437
agentic,500,62,-438
collaborate,500,59,-441
how,500,58,-442
microsoft,500,56,-444
science,500,54,-446
requirements,500,52,-448
models,500,48,-452
engineers,500,47,-453
every,500,37,-463
pay,500,32,-468
security,500,28,-472
