analysis_group,subgroup,period_year,n,ai_canonical_rate,ai_strict_v1_rate
control,accountant,2024,4481,0.0004463289444320464,0.0002231644722160232
control,accountant,2026,2883,0.007977800901838363,0.003815469996531391
control,civil_engineer,2024,274,0.0,0.0
control,civil_engineer,2026,416,0.007211538461538462,0.0
control,electrical_engineer,2024,783,0.001277139208173691,0.0
control,electrical_engineer,2026,1101,0.01634877384196185,0.0009082652134423251
control,financial_analyst,2024,763,0.0,0.0
control,financial_analyst,2026,864,0.017361111111111112,0.010416666666666666
control,mechanical_engineer,2024,539,0.0,0.0
control,mechanical_engineer,2026,963,0.010384215991692628,0.0010384215991692627
control,nurse,2024,12961,0.0,0.0
control,nurse,2026,6663,0.00015008254539996998,0.0
control,other_control,2024,2642,0.0,0.0
control,other_control,2026,911,0.0010976948408342481,0.0
swe,ml_engineer,2024,369,0.41192411924119243,0.12195121951219512
swe,ml_engineer,2026,1842,0.738870792616721,0.46959826275787186
swe,other_swe,2024,22382,0.016218389777499776,0.004378518452327763
swe,other_swe,2026,23705,0.20139211136890953,0.1061801307740983
swe_adjacent,data_analyst,2024,556,0.01079136690647482,0.0
swe_adjacent,data_analyst,2026,815,0.04785276073619632,0.0196319018404908
swe_adjacent,data_engineer,2024,24,0.041666666666666664,0.0
swe_adjacent,data_engineer,2026,142,0.28169014084507044,0.1056338028169014
swe_adjacent,data_scientist,2024,826,0.16343825665859565,0.0387409200968523
swe_adjacent,data_scientist,2026,2777,0.39935181850918255,0.17032769175369103
swe_adjacent,devops_engineer,2024,12,0.0,0.0
swe_adjacent,devops_engineer,2026,6,0.16666666666666666,0.16666666666666666
swe_adjacent,ml_engineer,2024,37,0.7567567567567568,0.35135135135135137
swe_adjacent,ml_engineer,2026,185,0.8432432432432433,0.6270270270270271
swe_adjacent,network_engineer,2024,1380,0.0,0.0
swe_adjacent,network_engineer,2026,1410,0.01276595744680851,0.00425531914893617
swe_adjacent,other_adjacent,2024,4371,0.018302447952413637,0.004118050789293068
swe_adjacent,other_adjacent,2026,3402,0.24632569077013522,0.12904174015285128
swe_adjacent,qa_engineer,2024,1085,0.0,0.0
swe_adjacent,qa_engineer,2026,937,0.03628601921024546,0.017075773745997867
swe_adjacent,security_engineer,2024,881,0.007945516458569807,0.0022701475595913734
swe_adjacent,security_engineer,2026,2442,0.13431613431613432,0.045454545454545456
swe_adjacent,solutions_architect,2024,898,0.0200445434298441,0.005567928730512249
swe_adjacent,solutions_architect,2026,579,0.2556131260794473,0.14853195164075994
swe_adjacent,systems_admin,2024,1703,0.0,0.0
swe_adjacent,systems_admin,2026,113,0.017699115044247787,0.008849557522123894
