source,source_platform,period,swe,swe_adjacent,control,total
kaggle_arshkon,linkedin,2024-04,4691.0,2396.0,8614.0,110360
kaggle_asaniczka,linkedin,2024-01,18129.0,9420.0,105341.0,847526
scraped,indeed,2026-03,4750.0,1355.0,11934.0,58560
scraped,indeed,2026-04,9495.0,2779.0,21994.0,109992
scraped,linkedin,2026-03,19740.0,5586.0,19761.0,121556
scraped,linkedin,2026-04,25577.0,7304.0,26811.0,159250
