period,metro,n,n_junior,junior_rate
2024-01,New York City Metro,60,2.0,0.03333333333333333
2024-01,Huntsville Metro,133,4.0,0.03007518796992481
2024-01,Madison Metro,36,1.0,0.027777777777777776
2024-01,Albany Metro,49,1.0,0.02040816326530612
2024-01,Columbus Metro,101,2.0,0.019801980198019802
2024-01,Dayton-Kettering-Beavercreek Metro,68,1.0,0.014705882352941176
2024-01,Washington DC Metro,1858,22.0,0.011840688912809472
2024-01,Raleigh-Durham-Chapel Hill,192,2.0,0.010416666666666666
2024-01,Dallas-Fort Worth Metro,606,6.0,0.009900990099009901
2024-01,Los Angeles Metro,887,8.0,0.009019165727170236
2024-01,Phoenix Metro,278,2.0,0.007194244604316547
2024-01,Denver Metro,476,3.0,0.0063025210084033615
2024-01,Houston Metro,168,1.0,0.005952380952380952
2024-01,Philadelphia Metro,417,2.0,0.004796163069544364
2024-01,unknown,5236,25.0,0.004774637127578304
2024-01,Chicago Metro,576,2.0,0.003472222222222222
2024-01,Seattle Metro,589,2.0,0.003395585738539898
2024-01,Atlanta Metro,446,1.0,0.002242152466367713
2024-01,San Francisco Bay Area,1371,2.0,0.0014587892049598833
2024-01,Jacksonville Metro,55,0.0,0.0
2024-01,Albuquerque Metro,35,0.0,0.0
2024-01,San Diego Metro,215,0.0,0.0
2024-01,Grand Rapids-Wyoming-Kentwood Metro,37,0.0,0.0
2024-01,Nashville Metro,91,0.0,0.0
2024-01,Indianapolis Metro,45,0.0,0.0
2024-01,Charlottesville Metro,41,0.0,0.0
2024-01,Pittsburgh Metro,166,0.0,0.0
2024-01,Virginia Beach-Chesapeake-Norfolk Metro,51,0.0,0.0
2024-01,Cleveland Metro,44,0.0,0.0
2024-01,Charleston-North Charleston Metro,35,0.0,0.0
2024-01,Richmond Metro,51,0.0,0.0
2024-01,Portland Metro,102,0.0,0.0
2024-01,Des Moines Metro,45,0.0,0.0
2024-01,Las Vegas Metro,51,0.0,0.0
2024-01,Minneapolis-Saint Paul,206,0.0,0.0
2024-01,Tucson Metro,56,0.0,0.0
2024-01,Milwaukee Metro,50,0.0,0.0
2024-01,Boston Metro,726,0.0,0.0
2024-01,Louisville Metro,31,0.0,0.0
2024-01,Tampa Bay Metro,172,0.0,0.0
2024-01,Detroit Metro,293,0.0,0.0
2024-01,Oklahoma City Metro,59,0.0,0.0
2024-01,Hartford-West Hartford-East Hartford Metro,61,0.0,0.0
2024-01,Orlando Metro,128,0.0,0.0
2024-01,Miami Metro,190,0.0,0.0
2024-01,Charlotte Metro,229,0.0,0.0
2024-01,Austin Metro,263,0.0,0.0
2024-01,Salt Lake City Metro,298,0.0,0.0
2024-01,St. Louis Metro,99,0.0,0.0
2024-01,Omaha Metro,41,0.0,0.0
2024-01,Cincinnati Metro,104,0.0,0.0
2024-01,San Antonio Metro,84,0.0,0.0
2024-04,Houston Metro,65,3.0,0.046153846153846156
2024-04,Phoenix Metro,75,3.0,0.04
2024-04,Charlotte Metro,75,2.0,0.02666666666666667
2024-04,Denver Metro,80,2.0,0.025
2024-04,Washington DC Metro,250,5.0,0.02
2024-04,Los Angeles Metro,121,2.0,0.01652892561983471
2024-04,Atlanta Metro,139,2.0,0.014388489208633094
2024-04,unknown,1919,24.0,0.012506513809275664
2024-04,Austin Metro,95,1.0,0.010526315789473684
