metro_area,n_2024,n_2026,n_builder_2024,n_builder_2026,n_user_ai_2024,n_user_ai_2026,n_general_labeled_2024,n_general_labeled_2026,builder_share_2024,builder_share_2026,user_share_in_general_2024,user_share_in_general_2026,user_share_2026,builder_share_delta,user_share_delta,is_tech_hub
Atlanta Metro,585.0,646.0,9.0,76.0,9.0,128.0,574.0,563.0,0.015384615384615385,0.11764705882352941,0.0156794425087108,0.22735346358792186,0.22735346358792186,0.10226244343891402,0.21167402107921104,False
Austin Metro,358.0,716.0,14.0,70.0,6.0,138.0,340.0,639.0,0.03910614525139665,0.09776536312849161,0.01764705882352941,0.215962441314554,0.215962441314554,0.058659217877094966,0.1983153824910246,True
Boston Metro,858.0,969.0,14.0,112.0,21.0,157.0,842.0,848.0,0.016317016317016316,0.11558307533539731,0.02494061757719715,0.18514150943396226,0.18514150943396226,0.099266059018381,0.16020089185676512,True
Charlotte Metro,304.0,658.0,1.0,64.0,1.0,123.0,302.0,591.0,0.003289473684210526,0.0972644376899696,0.0033112582781456954,0.20812182741116753,0.20812182741116753,0.09397496400575908,0.20481056913302184,False
Chicago Metro,727.0,662.0,12.0,68.0,11.0,104.0,714.0,588.0,0.016506189821182942,0.1027190332326284,0.015406162464985995,0.17687074829931973,0.17687074829931973,0.08621284341144546,0.16146458583433373,False
Columbus Metro,140.0,306.0,1.0,19.0,0.0,56.0,139.0,284.0,0.007142857142857143,0.06209150326797386,0.0,0.19718309859154928,0.19718309859154928,0.05494864612511671,0.19718309859154928,False
Dallas-Fort Worth Metro,852.0,1270.0,16.0,144.0,20.0,219.0,832.0,1116.0,0.018779342723004695,0.11338582677165354,0.02403846153846154,0.19623655913978494,0.19623655913978494,0.09460648404864885,0.1721980976013234,False
Denver Metro,556.0,455.0,6.0,28.0,1.0,50.0,548.0,424.0,0.01079136690647482,0.06153846153846154,0.0018248175182481751,0.1179245283018868,0.1179245283018868,0.05074709463198672,0.11609971078363862,False
Detroit Metro,360.0,380.0,4.0,36.0,7.0,43.0,356.0,340.0,0.011111111111111112,0.09473684210526316,0.019662921348314606,0.1264705882352941,0.1264705882352941,0.08362573099415205,0.10680766688697951,False
Houston Metro,233.0,317.0,6.0,21.0,3.0,43.0,227.0,295.0,0.02575107296137339,0.06624605678233439,0.013215859030837005,0.14576271186440679,0.14576271186440679,0.040494983820961,0.1325468528335698,False
Los Angeles Metro,1008.0,1039.0,21.0,90.0,52.0,176.0,985.0,923.0,0.020833333333333332,0.08662175168431184,0.05279187817258883,0.19068255687973998,0.19068255687973998,0.06578841835097851,0.13789067870715116,False
Miami Metro,218.0,189.0,3.0,19.0,3.0,37.0,214.0,169.0,0.013761467889908258,0.10052910052910052,0.014018691588785047,0.21893491124260356,0.21893491124260356,0.08676763263919227,0.2049162196538185,False
Minneapolis-Saint Paul,260.0,344.0,1.0,44.0,7.0,55.0,259.0,299.0,0.0038461538461538464,0.12790697674418605,0.02702702702702703,0.18394648829431437,0.18394648829431437,0.1240608228980322,0.15691946126728734,False
Nashville Metro,102.0,131.0,1.0,10.0,1.0,30.0,101.0,120.0,0.00980392156862745,0.07633587786259542,0.009900990099009901,0.25,0.25,0.06653195629396796,0.2400990099009901,False
New York City Metro,67.0,1237.0,0.0,162.0,1.0,238.0,67.0,1064.0,0.0,0.13096200485044462,0.014925373134328358,0.2236842105263158,0.2236842105263158,0.13096200485044462,0.20875883739198745,True
Philadelphia Metro,497.0,516.0,9.0,41.0,5.0,54.0,484.0,467.0,0.018108651911468814,0.07945736434108527,0.010330578512396695,0.11563169164882227,0.11563169164882227,0.06134871242961646,0.10530111313642557,False
Phoenix Metro,353.0,436.0,10.0,33.0,6.0,62.0,342.0,397.0,0.028328611898016998,0.07568807339449542,0.017543859649122806,0.1561712846347607,0.1561712846347607,0.04735946149647842,0.1386274249856379,False
Pittsburgh Metro,206.0,278.0,6.0,22.0,4.0,37.0,197.0,245.0,0.02912621359223301,0.07913669064748201,0.02030456852791878,0.1510204081632653,0.1510204081632653,0.050010477055249,0.13071583963534653,False
Portland Metro,116.0,88.0,1.0,8.0,2.0,9.0,115.0,78.0,0.008620689655172414,0.09090909090909091,0.017391304347826087,0.11538461538461539,0.11538461538461539,0.0822884012539185,0.09799331103678931,False
Raleigh-Durham-Chapel Hill,243.0,366.0,3.0,32.0,2.0,58.0,239.0,331.0,0.012345679012345678,0.08743169398907104,0.008368200836820083,0.17522658610271905,0.17522658610271905,0.07508601497672536,0.16685838526589897,False
Salt Lake City Metro,329.0,1051.0,4.0,141.0,8.0,229.0,324.0,901.0,0.0121580547112462,0.13415794481446242,0.024691358024691357,0.2541620421753607,0.2541620421753607,0.12199989010321621,0.22947068415066935,False
San Diego Metro,268.0,317.0,5.0,38.0,3.0,39.0,260.0,276.0,0.018656716417910446,0.11987381703470032,0.011538461538461539,0.14130434782608695,0.14130434782608695,0.10121710061678987,0.12976588628762542,False
San Francisco Bay Area,1729.0,3247.0,97.0,510.0,108.0,835.0,1622.0,2695.0,0.05610179294389821,0.15706806282722513,0.06658446362515413,0.3098330241187384,0.3098330241187384,0.10096626988332692,0.2432485604935843,True
Seattle Metro,762.0,1406.0,18.0,193.0,22.0,351.0,740.0,1191.0,0.023622047244094488,0.13726884779516357,0.02972972972972973,0.2947103274559194,0.2947103274559194,0.11364680055106909,0.26498059772618965,True
Tampa Bay Metro,214.0,160.0,1.0,18.0,1.0,37.0,213.0,141.0,0.004672897196261682,0.1125,0.004694835680751174,0.2624113475177305,0.2624113475177305,0.10782710280373832,0.2577165118369793,False
Washington DC Metro,2108.0,1904.0,42.0,143.0,25.0,240.0,2062.0,1745.0,0.019924098671726755,0.07510504201680672,0.01212415130940834,0.13753581661891118,0.13753581661891118,0.05518094334507996,0.12541166530950285,False
