period,n,n_agg,agg_share
2024-01,18129,2943.0,0.16233658778752275
2024-04,4691,430.0,0.09166489021530591
2026-03,19740,3316.0,0.167983789260385
2026-04,25577,4392.0,0.17171677679164873
