op,period,n,mean_yoe,median_yoe,p75_yoe,mean_desc_len
BASELINE_entry_no_junior_in_title,2024-01,150,1.876543209876543,1.0,3.0,3694.6133333333332
BASELINE_entry_no_junior_in_title,2024-04,129,1.34375,1.0,2.0,3519.68992248062
BASELINE_entry_no_junior_in_title,2026-03,544,1.2236024844720497,1.0,2.0,5445.058823529412
BASELINE_entry_no_junior_in_title,2026-04,457,1.1122448979591837,1.0,2.0,5012.768052516411
OP_A_junior_title__within_entry,2024-01,68,2.3333333333333335,2.0,3.0,2826.220588235294
OP_A_junior_title__within_entry,2024-04,38,1.7142857142857142,1.0,3.0,3274.5526315789475
OP_A_junior_title__within_entry,2026-03,75,1.7954545454545454,1.0,2.0,4361.2
OP_A_junior_title__within_entry,2026-04,87,1.5789473684210527,1.0,2.0,3965.367816091954
OP_A2_junior_jr_title__within_entry,2024-01,88,2.206896551724138,2.0,3.0,2804.306818181818
OP_A2_junior_jr_title__within_entry,2024-04,48,1.76,2.0,3.0,3360.7916666666665
OP_A2_junior_jr_title__within_entry,2026-03,92,1.7627118644067796,2.0,2.0,4330.184782608696
OP_A2_junior_jr_title__within_entry,2026-04,110,1.5405405405405406,1.0,2.0,3967.6
OP_B_explicit_entry_family__within_entry,2024-01,103,2.076923076923077,2.0,3.0,2868.8446601941746
OP_B_explicit_entry_family__within_entry,2024-04,62,1.5625,1.5,2.25,3394.5806451612902
OP_B_explicit_entry_family__within_entry,2026-03,253,1.5617977528089888,1.0,2.0,5362.529644268775
OP_B_explicit_entry_family__within_entry,2026-04,185,1.2358490566037736,1.0,2.0,4477.3135135135135
OP_E_levelcode_title__within_entry,2024-01,17,2.357142857142857,2.0,2.75,4291.529411764706
OP_E_levelcode_title__within_entry,2024-04,17,1.2142857142857142,1.0,2.0,4271.941176470588
OP_E_levelcode_title__within_entry,2026-03,52,1.1714285714285715,1.0,2.0,5661.173076923077
OP_E_levelcode_title__within_entry,2026-04,47,1.1379310344827587,1.0,2.0,5494.63829787234
