ngram,kind,2024,2026,delta_2026_minus_2024
software engineer,bi,0.2821209465381245,0.40282896043427413,0.12070801389614966
engineer,uni,0.7349255039439089,0.8543372244411589,0.11941172049725002
software,uni,0.3766432953549518,0.4796213341571596,0.1029780388022078
ai,uni,0.009027169149868536,0.08171326433788645,0.07268609518801791
data,uni,0.07037686240140228,0.10497164419533508,0.0345947817939328
ai engineer,bi,0.002147239263803681,0.029525343690005958,0.027378104426202275
platform,uni,0.01652059596844873,0.03892578943884194,0.022405193470393207
learning,uni,0.014548641542506574,0.03301189399121742,0.018463252448710846
data engineer,bi,0.0542068361086766,0.07253348632963347,0.01832665022095687
machine,uni,0.01371603856266433,0.03204095593265221,0.018324917369987877
cloud,uni,0.025810692375109554,0.04391288037601783,0.018102188000908275
machine learning,bi,0.013672217353198948,0.0315334201293113,0.017861202776112348
learning engineer,bi,0.010823838737949168,0.026965597899243108,0.016141759161293942
stack,uni,0.05740578439964943,0.07346029084008208,0.016054506440432652
full stack,bi,0.056660823838737946,0.07229075181499217,0.015629927976254225
full,uni,0.059114811568799296,0.07465189663923032,0.015537085070431021
ai/ml,uni,0.0,0.014961272811527683,0.014961272811527683
backend,uni,0.016432953549517966,0.029326742723481253,0.012893789173963287
devops engineer,bi,0.018930762489044697,0.0316437539996028,0.012712991510558103
engineer ai,bi,0.0013146362839614374,0.01324006443498025,0.011925428151018814
devops,uni,0.032208588957055216,0.04327294392832712,0.011064354971271902
development,uni,0.02261174408413672,0.03285742657280932,0.010245682488672601
software development,bi,0.017835232252410165,0.027208332413884415,0.00937310016147425
development engineer,bi,0.017835232252410165,0.027142132091709514,0.00930689983929935
2026,uni,0.0,0.00898117704172827,0.00898117704172827
stack engineer,bi,0.010823838737949168,0.019749762782178874,0.008925924044229707
google,uni,0.0,0.008252973497804355,0.008252973497804355
intern,uni,0.002716914986853637,0.010437584129576098,0.007720669142722461
ai/ml engineer,bi,0.0,0.0071717015689476355,0.0071717015689476355
stack developer,bi,0.014592462751971954,0.021426837610609706,0.006834374858637752
back,uni,0.009991235758106924,0.0034644835271531653,-0.006526752230953758
salesforce developer,bi,0.009290096406660824,0.002581812564821149,-0.006708283841839675
back end,bi,0.009947414548641542,0.00317761546439526,-0.006769799084246282
test engineer,bi,0.01971954425942156,0.012909062824105744,-0.006810481435315815
manager,uni,0.012620508326029798,0.0054063596442836025,-0.007214148681746195
salesforce,uni,0.01156879929886065,0.004325087715426882,-0.007243711583433767
engineer back,bi,0.0075810692375109555,0.0,-0.0075810692375109555
automation,uni,0.022918492550394392,0.01480680539311958,-0.008111687157274812
automation engineer,bi,0.01586327782646801,0.007458569631705541,-0.00840470819476247
software architect,bi,0.008545135845749343,0.0,-0.008545135845749343
onsite,uni,0.016783523225241015,0.008098506079396254,-0.008685017145844761
end,uni,0.01796669588080631,0.009223911556369575,-0.008742784324436736
application developer,bi,0.013190184049079755,0.00370721804179447,-0.009482966007285284
software developer,bi,0.030587204206836107,0.02016903148928658,-0.010418172717549527
.net developer,bi,0.013277826468010517,0.002537679016704548,-0.010740147451305969
java developer,bi,0.02353198948290973,0.012776662179755942,-0.010755327303153787
.net,uni,0.023181419807186677,0.011099587351325109,-0.012081832455861568
system engineer,bi,0.02572304995617879,0.011518856058432819,-0.014204193897745972
engineer with,bi,0.020858895705521473,0.0061345631882075155,-0.014724332517313959
architect,uni,0.017528483786152498,0.002736279983229252,-0.014792203802923246
system,uni,0.03185801928133217,0.016020477966326104,-0.015837541315006063
application,uni,0.035801928133216476,0.019242226978837963,-0.016559701154378513
security,uni,0.04596844872918492,0.01215879250612353,-0.033809656223061396
with,uni,0.05148992112182296,0.013990334752962465,-0.0374995863688605
with security,bi,0.04044697633654689,0.002008076439305338,-0.03843889989724155
security clearance,bi,0.040929009640666085,0.00209634353553854,-0.03883266610512755
clearance,uni,0.04574934268185802,0.005538760288633405,-0.040210582393224614
developer,uni,0.20306748466257668,0.12441247214069776,-0.07865501252187893
systems engineer,bi,0.11669588080631026,0.03482136946399806,-0.08187451134231219
systems,uni,0.1401840490797546,0.052695456451221395,-0.0874885926285332
