method,n_2024,n_2026,growth_ratio,share_2026,median_yoe,director_share_pct,n_firms,benchmark_median_yoe_senior_2026,benchmark_director_share_senior_2026_pct
v9_T34_cluster0,144,2251,15.631944444444445,0.939874739039666,6.0,1.92,1163,5.0,1.6987726570755102
title_regex,366,1896,5.180327868852459,0.07342576097901014,5.0,0.9493670886075949,1014,5.0,1.6987726570755102
