company,abs_delta
AMERICAN SYSTEMS,1.0
AT&T,1.0
BayOne Solutions,1.0
ApTask,1.0
Cbase Inc,1.0
Blackhawk Network,1.0
Confidential,1.0
ConsultNet Technology Services and Solutions,1.0
Extend Information Systems Inc.,1.0
FanDuel,1.0
Guidehouse,1.0
KPG99 INC,1.0
Rose International,1.0
Mphasis,1.0
Lorven Technologies Inc.,1.0
Kavaliro,1.0
Software Technology Inc.,1.0
Snap Inc.,1.0
SynergisticIT,1.0
Strava,1.0
TekWissen ®,1.0
The Intersect Group,1.0
Tech Consulting,1.0
"Sira Consulting, an Inc 5000 company",1.0
Precision Technologies,1.0
Themesoft Inc.,1.0
The Judge Group,1.0
VT Group (VTG),1.0
Workday,1.0
"Zodiac Solutions, Inc",1.0
"VMC Soft Technologies, Inc",1.0
Talener,1.0
"Q1 Technologies, Inc.",1.0
Publicis Sapient,1.0
Rockstar Games,1.0
State Farm,0.9999999999999999
Ace Technologies,0.9999999999999999
Venmo,0.9999999999999999
Selby Jennings,0.9090909090909091
"American Unit, Inc",0.875
BCforward,0.875
Open Systems Technologies,0.8666666666666667
Talent Groups,0.8571428571428572
Franklin Fitch,0.8571428571428572
Jobs via eFinancialCareers,0.8571428571428571
Raas Infotek,0.8571428571428571
Optomi,0.8333333333333334
AllSTEM Connections,0.8333333333333334
OSI Engineering,0.8333333333333333
Mastech Digital,0.8333333333333333
FIS,0.8333333333333333
General Dynamics Information Technology,0.8333333333333333
Intellectt Inc,0.8333333333333333
INSPYR Solutions,0.8333333333333333
"V-Soft Consulting Group, Inc.",0.8333333333333333
WEX,0.8333333333333333
Mindlance,0.8
Wipro,0.8
ServiceNow,0.8
Virtusa,0.8
VySystems,0.8
Russell Tobin,0.8
BioSpace,0.7999999999999999
AVEVA,0.7999999999999999
World Wide Technology,0.7999999999999999
"Veridian Tech Solutions, Inc.",0.75
Unisys,0.75
Viasat,0.75
Matlen Silver,0.75
Leonardo DRS,0.75
eBay,0.75
eTeam,0.75
Cygnus Professionals Inc.,0.75
Docusign,0.75
FastTek Global,0.75
GE HealthCare,0.75
Agility Partners,0.75
Galactic Minds INC,0.75
Procore Technologies,0.75
"LanceSoft, Inc.",0.75
HTC Global Services,0.75
Centraprise,0.7285714285714285
Meta,0.7272727272727273
Anduril Industries,0.7195121951219512
"Softworld, a Kelly Company",0.7142857142857143
"Mission Technologies, a division of HII",0.7142857142857143
Innova Solutions,0.7142857142857142
Empower Professionals,0.7142857142857142
"Yoh, A Day & Zimmermann Company",0.7142857142857142
Aditi Consulting,0.7142857142857142
CrowdStrike,0.7000000000000001
"Tanisha Systems, Inc",0.7000000000000001
Intel,0.7
Smart IT Frame LLC,0.6904761904761905
Robinhood,0.6888888888888889
Deloitte,0.6878787878787879
Honeywell,0.6753246753246753
HIRECLOUT,0.6666666666666667
"Reveille Technologies,Inc",0.6666666666666667
State Street,0.6666666666666667
Solomon Page,0.6666666666666667
System Soft Technologies,0.6666666666666667
New York Technology Partners,0.6666666666666666
Radley James,0.6666666666666666
Sibitalent Corp,0.6666666666666666
Caterpillar Inc.,0.6666666666666666
Akamai Technologies,0.6666666666666666
ByteDance,0.6666666666666666
"Gardner Resources Consulting, LLC",0.6666666666666666
Horizontal Talent,0.6666666666666666
Esri,0.6666666666666666
Stealth Startup,0.6666666666666666
"Miracle Software Systems, Inc",0.6666666666666666
NLB Services,0.6666666666666666
Verizon,0.6666666666666666
myGwork - LGBTQ+ Business Community,0.6479591836734694
System One,0.6461538461538462
Collabera,0.6428571428571429
UST,0.6333333333333333
American Express,0.6333333333333333
Quantum World Technologies Inc.,0.625
Parsons Corporation,0.625
Ascendion,0.625
Ledgent Technology,0.6031746031746031
Amtex Systems Inc.,0.6000000000000001
Fanatics,0.6
"TSR Consulting Services, Inc.",0.6
Netflix,0.6
Infosys,0.5857142857142856
"IDR, Inc.",0.5833333333333333
Leidos,0.582995951417004
Cisco,0.5806451612903226
WHOOP,0.5757575757575757
Siri InfoSolutions Inc,0.5714285714285714
CGI,0.5648148148148148
hackajob,0.5625
Microsoft,0.5614035087719298
Randstad Digital Americas,0.5604395604395604
SAIC,0.5555555555555556
Robert Half,0.55
JPMorgan Chase & Co.,0.5490196078431373
Dexian,0.5476190476190476
Goldman Sachs,0.5333333333333333
Eliassen Group,0.5333333333333333
EPITEC,0.5272727272727273
The Walt Disney Company,0.5238095238095238
Cloudflare,0.5238095238095237
VDart,0.5238095238095237
Ford Motor Company,0.5142857142857142
Ampstek,0.5142857142857142
Visa,0.5142857142857142
Synechron,0.5087719298245614
CACI International Inc,0.5083333333333333
KTek Resourcing,0.5
Apetan Consulting LLC,0.5
Harvey Nash,0.5
Apexon,0.5
Capgemini,0.5
Brightpath Associates LLC,0.5
ClearanceJobs,0.5
"Zillion Technologies, Inc.",0.5
United Software Group Inc,0.5
U.S. Bank,0.5
"Stellar Consulting Solutions, LLC",0.5
Delta Air Lines,0.5
Cogent Communications,0.5
Equifax,0.5
Goliath Partners,0.5
Navy Federal Credit Union,0.5
Pronix Inc,0.5
PriceSenz,0.5
Revature,0.5
Nityo Infotech,0.5
OKAYA INFOCOM,0.5
Netsmart,0.5
"Metasys Technologies, Inc.",0.5
Soni,0.5
TechDoQuest,0.5
Photon,0.5
Rocket Lab,0.5
General Motors,0.4935064935064935
Experis,0.49230769230769234
Brooksource,0.4666666666666667
Info Way Solutions,0.4666666666666667
Uber,0.4666666666666667
Macquarie Group,0.4666666666666667
USAA,0.4666666666666667
Ehub Global Inc,0.4666666666666667
"Pyramid Consulting, Inc",0.4642857142857143
Akkodis,0.4568421052631579
Wells Fargo,0.45018115942028986
Piper Companies,0.444078947368421
Compunnel Inc.,0.4340659340659341
Amazon,0.43159065628476084
Cognizant,0.4305555555555556
Booz Allen Hamilton,0.4208037825059101
Qualcomm,0.419672131147541
Tesla,0.41666666666666663
Oracle,0.40350877192982454
NBCUniversal,0.4
IntePros,0.4
Entegee,0.4
SSi People,0.4
Fidelity Investments,0.39564428312159705
Apex Systems,0.38377926421404684
TEKsystems,0.37944664031620556
Jobot,0.3782991202346041
Harnham,0.35714285714285715
EVONA,0.3571428571428571
ICE,0.3531468531468532
TikTok,0.35294117647058826
Tata Consultancy Services,0.3513157894736842
Google,0.35068870523415974
Palo Alto Networks,0.3487179487179487
Boeing,0.3392857142857143
Northrop Grumman,0.33862433862433866
Centene Corporation,0.33333333333333337
Infojini Inc,0.33333333333333337
CarMax,0.33333333333333337
Thermo Fisher Scientific,0.3333333333333333
Cloudious LLC,0.3333333333333333
Amazon Web Services (AWS),0.3242574257425743
"BAE Systems, Inc.",0.31785714285714284
LinkedIn,0.29411764705882354
BLUE ORIGIN,0.29220779220779225
Insight Global,0.2918518518518518
Adobe,0.2872628726287263
Raytheon,0.2619047619047619
General Atomics,0.25
General Dynamics Mission Systems,0.25
Pinterest,0.24999999999999997
Actalent,0.23188405797101447
Capital One,0.22483380816714146
Motion Recruitment,0.20833333333333331
Western Union,0.19999999999999998
MITRE,0.19999999999999998
Collins Aerospace,0.09999999999999999
Westinghouse Electric Company,0.09999999999999999
DataAnnotation,0.08333333333333334
Charter Global,0.0
