archetype,n_rows,n_companies_ent,entry_final_total,entry_final_within,yoe_le2_total,yoe_le2_within,ai_total,ai_within,scope_total,scope_within
AWS cloud SDE (Amazon template),211,2,0.0,0.0,-0.13462993247785215,-0.17975584673576064,0.2018348623853211,0.16365781580804517,-0.046199213630406244,-0.07681837466814533
Agile/Scrum generalist,234,15,-0.1,-0.1848684210526316,-0.04371717171717168,-0.1280923520923521,0.11904761904761904,0.1261726952516426,0.04385964912280699,0.22711853233469773
Amazon program boilerplate,200,3,-0.23443777445576006,-0.08665745974648853,-0.018569711538461542,-0.06512620192307694,0.07801418439716312,0.08925113469068607,-0.10756501182033096,-0.026267707588835752
Data engineering (Spark/ETL),401,16,0.14814814814814814,0.14384151593453917,0.0028031070584262074,-0.0010908476865923722,0.0930769230769231,0.12324409439889315,0.11615384615384616,0.10008558349115626
Defense & cleared regulated work,648,30,-0.048769749835418034,-0.027348721746763224,0.0663466126723326,0.0018826118068918474,0.04510073260073259,0.04398784975708053,0.1282051282051282,0.11325035363496905
DevOps / SRE / platform,758,33,0.001851851851851851,0.005855119825708058,0.06738716804551277,0.0430968802249582,0.11675774134790527,0.11495192316729647,0.023952641165755933,0.03795220030631515
Embedded / firmware,308,15,-0.043391188251001335,0.017752837116154864,0.11278819318043923,0.0330897480446989,0.014013605442176873,-0.0016140350877192986,0.14013605442176874,0.17124019735485901
JS frontend (React/TypeScript),353,15,-0.025490196078431372,-0.058496732026143784,0.161237136846893,0.18445619421229179,0.17185185185185184,0.14121869488536154,0.09333333333333327,0.08025436908770242
Java enterprise (Spring/microservices),654,31,-0.052101635356129196,-0.054371086182817496,0.01970691760921839,-0.0028466200890588144,0.11910498371480838,0.10759451790940214,0.16084415294695042,0.13108278992531436
LLM / GenAI / ML engineering,837,22,0.13141223404255323,0.14774892350557242,0.15287787373581413,0.1369530489510669,0.34540998217468805,0.24477564772305171,0.17589126559714796,0.20243856368365573
