source,occ_group,period,seniority_final,n,tool_posts,domain_posts,any_posts,chars,tool_rate_pct,domain_rate_pct,any_rate_pct,tool_per_1k_chars,domain_per_1k_chars,any_per_1k_chars
kaggle_arshkon,adjacent,2024-04,associate,78,20,4,23,253330,25.64,5.13,29.49,0.0789,0.0158,0.0908
kaggle_arshkon,adjacent,2024-04,director,24,10,3,12,114221,41.67,12.5,50.0,0.0875,0.0263,0.1051
kaggle_arshkon,adjacent,2024-04,entry,224,90,20,94,872923,40.18,8.93,41.96,0.1031,0.0229,0.1077
kaggle_arshkon,adjacent,2024-04,mid-senior,886,360,61,373,3157064,40.63,6.88,42.1,0.114,0.0193,0.1181
kaggle_arshkon,adjacent,2024-04,unknown,168,32,13,36,387074,19.05,7.74,21.43,0.0827,0.0336,0.093
kaggle_arshkon,control,2024-04,associate,401,104,2,105,1137407,25.94,0.5,26.18,0.0914,0.0018,0.0923
kaggle_arshkon,control,2024-04,director,210,74,1,75,780931,35.24,0.48,35.71,0.0948,0.0013,0.096
kaggle_arshkon,control,2024-04,entry,1603,576,6,579,5066437,35.93,0.37,36.12,0.1137,0.0012,0.1143
kaggle_arshkon,control,2024-04,mid-senior,4839,1624,25,1632,16560277,33.56,0.52,33.73,0.0981,0.0015,0.0985
kaggle_arshkon,control,2024-04,unknown,1392,561,1,562,4113232,40.3,0.07,40.37,0.1364,0.0002,0.1366
kaggle_arshkon,swe,2024-04,associate,210,89,16,94,745776,42.38,7.62,44.76,0.1193,0.0215,0.126
kaggle_arshkon,swe,2024-04,director,20,10,4,10,79850,50.0,20.0,50.0,0.1252,0.0501,0.1252
kaggle_arshkon,swe,2024-04,entry,773,337,80,370,2982926,43.6,10.35,47.87,0.113,0.0268,0.124
kaggle_arshkon,swe,2024-04,mid-senior,2783,1177,340,1290,9898628,42.29,12.22,46.35,0.1189,0.0343,0.1303
kaggle_arshkon,swe,2024-04,unknown,853,245,88,271,1961383,28.72,10.32,31.77,0.1249,0.0449,0.1382
kaggle_asaniczka,adjacent,2024-01,associate,526,123,12,130,1777034,23.38,2.28,24.71,0.0692,0.0068,0.0732
kaggle_asaniczka,adjacent,2024-01,director,14,6,0,6,66757,42.86,0.0,42.86,0.0899,0.0,0.0899
kaggle_asaniczka,adjacent,2024-01,entry,18,0,3,3,52812,0.0,16.67,16.67,0.0,0.0568,0.0568
kaggle_asaniczka,adjacent,2024-01,mid-senior,5880,2406,479,2616,23132160,40.92,8.15,44.49,0.104,0.0207,0.1131
kaggle_asaniczka,control,2024-01,associate,5548,1373,32,1389,17173341,24.75,0.58,25.04,0.0799,0.0019,0.0809
kaggle_asaniczka,control,2024-01,director,632,231,0,231,2592041,36.55,0.0,36.55,0.0891,0.0,0.0891
kaggle_asaniczka,control,2024-01,entry,405,166,0,166,1600161,40.99,0.0,40.99,0.1037,0.0,0.1037
kaggle_asaniczka,control,2024-01,mid-senior,105495,38148,383,38247,406126649,36.16,0.36,36.25,0.0939,0.0009,0.0942
kaggle_asaniczka,swe,2024-01,associate,1292,505,200,613,4851280,39.09,15.48,47.45,0.1041,0.0412,0.1264
kaggle_asaniczka,swe,2024-01,director,86,41,15,43,471652,47.67,17.44,50.0,0.0869,0.0318,0.0912
kaggle_asaniczka,swe,2024-01,entry,121,42,16,50,389162,34.71,13.22,41.32,0.1079,0.0411,0.1285
kaggle_asaniczka,swe,2024-01,mid-senior,20544,8839,2880,9980,84397199,43.02,14.02,48.58,0.1047,0.0341,0.1183
scraped,adjacent,2026-03,associate,23,10,2,10,88092,43.48,8.7,43.48,0.1135,0.0227,0.1135
scraped,adjacent,2026-03,director,6,5,1,5,41000,83.33,16.67,83.33,0.122,0.0244,0.122
scraped,adjacent,2026-03,entry,115,56,28,56,549740,48.7,24.35,48.7,0.1019,0.0509,0.1019
scraped,adjacent,2026-03,mid-senior,409,255,84,264,2163735,62.35,20.54,64.55,0.1179,0.0388,0.122
scraped,adjacent,2026-03,unknown,30,12,5,12,189363,40.0,16.67,40.0,0.0634,0.0264,0.0634
scraped,control,2026-03,associate,185,53,7,57,863796,28.65,3.78,30.81,0.0614,0.0081,0.066
scraped,control,2026-03,director,64,35,0,35,353878,54.69,0.0,54.69,0.0989,0.0,0.0989
scraped,control,2026-03,entry,1672,738,13,742,7170550,44.14,0.78,44.38,0.1029,0.0018,0.1035
scraped,control,2026-03,mid-senior,1965,784,83,814,9834055,39.9,4.22,41.42,0.0797,0.0084,0.0828
scraped,control,2026-03,unknown,168,63,13,64,793188,37.5,7.74,38.1,0.0794,0.0164,0.0807
scraped,swe,2026-03,associate,114,47,12,50,399932,41.23,10.53,43.86,0.1175,0.03,0.125
scraped,swe,2026-03,director,26,19,7,19,149994,73.08,26.92,73.08,0.1267,0.0467,0.1267
scraped,swe,2026-03,entry,561,336,119,355,2485251,59.89,21.21,63.28,0.1352,0.0479,0.1428
scraped,swe,2026-03,mid-senior,3353,2360,944,2499,17719849,70.38,28.15,74.53,0.1332,0.0533,0.141
scraped,swe,2026-03,unknown,264,196,141,208,1587330,74.24,53.41,78.79,0.1235,0.0888,0.131
