source,is_swe,swe_classification_tier,n
kaggle_arshkon,True,embedding_high,77
kaggle_arshkon,True,regex,4477
kaggle_arshkon,True,title_lookup_llm,465
kaggle_asaniczka,True,embedding_high,395
kaggle_asaniczka,True,regex,20411
kaggle_asaniczka,True,title_lookup_llm,2407
scraped,True,embedding_high,484
scraped,True,regex,32991
scraped,True,title_lookup_llm,1587
