title_normalized,n
network engineer,1359
quality engineer,1228
data scientist,1199
data analyst,1011
architect,538
security engineer,373
solutions architect,351
windows engineer,333
systems administrator,256
system administrator,192
data architect,176
ddi network engineer,169
database administrator,167
solution architect,152
cyber security engineer,132
cybersecurity engineer,126
enterprise architect,120
"network engineer, load balancer specialist",116
. network engineer,96
network security engineer,93
cloud security architect,90
systems analyst,88
application security engineer,87
security architect,86
analytics engineer,85
cloud security engineer,85
cloud architect,80
. quality engineer,77
"manager, data engineering",72
system analyst,69
