confidence_bin,is_swe,n
0.0-0.3,False,1016355
0.3-0.5,False,76153
0.5-0.7,False,50554
0.7-0.85,False,18305
0.85-0.95,False,5311
0.85-0.95,True,5363
0.95-1.0,False,114469
0.95-1.0,True,57931
