swe_classification_tier,is_swe,swe_classification_llm,n
embedding_high,True,NOT_SWE,24
embedding_high,True,SWE,73
embedding_high,True,SWE_ADJACENT,42
regex,True,NOT_SWE,1095
regex,True,SWE,7042
regex,True,SWE_ADJACENT,545
title_lookup_llm,True,NOT_SWE,186
title_lookup_llm,True,SWE,378
title_lookup_llm,True,SWE_ADJACENT,274
