is_swe,swe_classification_tier,n,pct
True,regex,57879,91.44
True,title_lookup_llm,4459,7.04
True,embedding_high,956,1.51
False,unresolved,1143062,89.22
False,regex,125281,9.78
False,embedding_adjacent,7493,0.58
False,title_lookup_llm,5311,0.41
