family_id,n_2026,emergence_share,median_distance_to_2024,p95_distance_to_2024,emergence_share_swe,emergence_share_adj
22,84,0.4880952380952381,0.3070007860660553,0.39821645617485046,0.475,0.75
17,144,0.3055555555555556,0.2879042625427246,0.36327865719795227,0.3053435114503817,0.3076923076923077
20,38,0.2894736842105263,0.2656761407852173,0.36686182022094727,0.3142857142857143,0.0
11,312,0.28205128205128205,0.2757304906845093,0.3664557933807373,0.2669039145907473,0.41935483870967744
23,71,0.23943661971830985,0.2767871618270874,0.3710665702819824,0.23684210526315788,0.24242424242424243
12,217,0.20276497695852536,0.26680266857147217,0.3727138042449951,0.1925133689839572,0.26666666666666666
18,119,0.20168067226890757,0.25470924377441406,0.35533833503723145,0.22916666666666666,0.08695652173913043
8,230,0.1826086956521739,0.24010348320007324,0.3530142605304718,0.075,0.24
16,126,0.16666666666666666,0.2521395981311798,0.3639558255672455,0.1557377049180328,0.5
19,53,0.1509433962264151,0.22978806495666504,0.3418276011943817,0.5,0.13725490196078433
14,97,0.14432989690721648,0.2672165632247925,0.3549269139766693,0.10416666666666667,0.1836734693877551
15,75,0.13333333333333333,0.246238112449646,0.3393934965133667,0.1111111111111111,0.19047619047619047
0,9085,0.10610897083104018,0.23332542181015015,0.3433530330657959,0.09260199762993059,0.13121460037759597
2,1138,0.10456942003514938,0.23818817734718323,0.3432171046733856,0.09834368530020704,0.13953488372093023
5,1203,0.0831255195344971,0.22884541749954224,0.33137038350105286,0.116751269035533,0.06674907292954264
4,955,0.0712041884816754,0.21590173244476318,0.32569530606269836,0.06666666666666667,0.24
9,255,0.06274509803921569,0.21595537662506104,0.32901450991630554,0.05102040816326531,0.1016949152542373
26,23,0.043478260869565216,0.2073320746421814,0.2594745457172394,0.0625,0.0
10,362,0.04143646408839779,0.22409039735794067,0.30956435203552246,0.0398406374501992,0.04504504504504504
7,518,0.04054054054054054,0.1943894326686859,0.30807769298553467,0.038910505836575876,0.25
24,25,0.04,0.2339431643486023,0.3047521114349365,0.041666666666666664,0.0
28,28,0.03571428571428571,0.25317642092704773,0.3041362464427948,0.03571428571428571,
6,761,0.030223390275952694,0.19793939590454102,0.29851847887039185,0.10294117647058823,0.023088023088023088
1,2001,0.025987006496751622,0.193040668964386,0.29163169860839844,0.021199273167777106,0.04857142857142857
3,721,0.024965325936199722,0.19875705242156982,0.2958310842514038,0.02263083451202263,0.14285714285714285
13,84,0.011904761904761904,0.19500881433486938,0.26719245314598083,0.012658227848101266,0.0
21,58,0.0,0.17852944135665894,0.26257073879241943,0.0,0.0
25,31,0.0,0.09554660320281982,0.24813717603683472,0.0,0.0
27,9,0.0,0.24271559715270996,0.28290408849716187,0.0,0.0
