period,company_industry,n,total,share
2024-04,IT Services and IT Consulting,1202,4653,0.25832796045562
2024-04,Software Development,611,4653,0.13131313131313133
2024-04,Financial Services,391,4653,0.08403180743606276
2024-04,Staffing and Recruiting,271,4653,0.058241994412207176
2024-04,Information Services,150,4653,0.032237266279819474
2024-04,Information Technology & Services,126,4653,0.027079303675048357
2024-04,Defense and Space Manufacturing,122,4653,0.026219643240919837
2024-04,"Technology, Information and Internet",106,4653,0.02278100150440576
2024-04,Banking,92,4653,0.019772189984955942
2024-04,"Technology, Information and Media",84,4653,0.018052869116698903
2024-04,Hospitals and Health Care,80,4653,0.017193208682570384
2024-04,Retail,69,4653,0.014829142488716958
2024-04,Business Consulting and Services,63,4653,0.013539651837524178
2024-04,Motor Vehicle Manufacturing,63,4653,0.013539651837524178
2024-04,Insurance,63,4653,0.013539651837524178
2026-03,Software Development,5050,19735,0.2558905497846466
2026-03,IT Services and IT Consulting,2468,19735,0.12505700532049657
2026-03,Financial Services,1500,19735,0.07600709399543958
2026-03,"Technology, Information and Internet",928,19735,0.047023055485178614
2026-03,Defense and Space Manufacturing,764,19735,0.03871294654167722
2026-03,Staffing and Recruiting,536,19735,0.027159868254370407
2026-03,"Information Services and Technology, Information and Internet",383,19735,0.01940714466683557
2026-03,Business Consulting and Services,354,19735,0.01793767418292374
2026-03,Hospitals and Health Care,281,19735,0.01423866227514568
2026-03,Semiconductor Manufacturing,275,19735,0.013934633899163922
2026-03,Entertainment Providers,237,19735,0.012009120851279453
2026-03,Aviation and Aerospace Component Manufacturing,219,19735,0.011097035723334177
2026-03,Internet Publishing,188,19735,0.009526222447428427
2026-03,Retail,185,19735,0.009374208259437548
2026-03,Insurance,181,19735,0.009171522675449708
2026-04,Software Development,6825,25570,0.26691435275713726
2026-04,IT Services and IT Consulting,3261,25570,0.1275322643723113
2026-04,Financial Services,1656,25570,0.06476339460305044
2026-04,"Technology, Information and Internet",1304,25570,0.0509972624168948
2026-04,Defense and Space Manufacturing,977,25570,0.03820883848259679
2026-04,Staffing and Recruiting,683,25570,0.02671098944075088
2026-04,Business Consulting and Services,473,25570,0.018498240125146656
2026-04,"Information Services and Technology, Information and Internet",434,25570,0.01697301525224873
2026-04,Hospitals and Health Care,368,25570,0.014391865467344545
2026-04,Semiconductor Manufacturing,331,25570,0.01294485725459523
2026-04,Retail,322,25570,0.012592882283926476
2026-04,Aviation and Aerospace Component Manufacturing,305,25570,0.011928040672663277
2026-04,Information Technology & Services,232,25570,0.009073132577238952
2026-04,"Technology, Information and Media",225,25570,0.00879937426671881
2026-04,Insurance,209,25570,0.008173640985529917
