token,category,orig_bay_n,orig_rest_n,orig_bay_rate_pct,orig_rest_rate_pct,orig_gap_pp,excl_bay_n,excl_rest_n,excl_bay_rate_pct,excl_rest_rate_pct,excl_gap_pp,abs_change_pp
openai,hub_leading,1677,1791,11.68753726893262,10.831937465103294,0.8555998038293239,1247,1752,9.222133119486768,11.073059360730593,-1.8509262412438248,-2.7065260450731485
anthropic,hub_leading,1677,1791,5.008944543828265,4.0201005025125625,0.988844041315702,1247,1752,4.891740176423416,3.824200913242009,1.0675392631814071,0.0786952218657051
agentic,hub_leading,1677,1791,29.457364341085274,26.409826912339472,3.0475374287458,1247,1752,31.275060144346433,26.48401826484018,4.791041879506253,1.7435044507604527
ai agent,hub_leading,1677,1791,4.949314251639833,2.7359017308766056,2.2134125207632276,1247,1752,5.212510024057739,2.682648401826484,2.5298616222312544,0.31644910146802685
llm,hub_leading,1677,1791,33.392963625521766,29.92741485203797,3.4655487734837953,1247,1752,36.16680032076985,30.07990867579909,6.08689164497076,2.6213428714869647
foundation model,hub_leading,1677,1791,0.655933214072749,0.33500837520938026,0.32092483886336876,1247,1752,0.5613472333600642,0.3424657534246575,0.21888147993540663,-0.10204335892796212
copilot,user_leading,1677,1791,16.815742397137747,22.166387493020657,-5.350645095882914,1247,1752,15.717722534081796,22.659817351598175,-6.942094817516378,-1.591449721633464
github copilot,user_leading,1677,1791,7.394156231365534,12.674483528754884,-5.28032729738935,1247,1752,8.179631114675221,12.95662100456621,-4.77698988989099,0.5033374074983605
claude,user_leading,1677,1791,12.343470483005367,16.136236739251814,-3.7927662562464466,1247,1752,15.076182838813152,16.15296803652968,-1.0767851977165288,2.715981058529918
prompt engineering,user_leading,1677,1791,8.706022659511031,15.522054718034617,-6.816032058523586,1247,1752,9.943865276663994,15.8675799086758,-5.923714632011806,0.8923174265117799
rag,user_leading,1677,1791,12.581991651759095,18.090452261306535,-5.508460609547439,1247,1752,15.076182838813152,18.43607305936073,-3.359890220547579,2.1485703889998597
mlops,user_leading,1677,1791,5.426356589147287,10.60859854829704,-5.182241959149754,1247,1752,6.415396952686447,10.67351598173516,-4.2581190290487125,0.9241229301010412
