min_cluster_size,n_clusters,noise_rate,largest_cluster,second_cluster,third_cluster
10,63,0.5267,251,184,90
20,2,0.0197,4616,253,0
40,2,0.0322,4557,250,0
80,2,0.0755,4346,246,0
