regex,industry,n,n_ai,rate,ci_lo,ci_hi
canonical_broad,FS,1804,471,0.26108647450110867,0.2413405978779327,0.28184771685052595
canonical_broad,SWE,6938,2243,0.3232920149899106,0.3123862246288081,0.3343933849779566
strict_v9like,FS,1804,415,0.23004434589800443,0.21120894169927656,0.2500270426922763
strict_v9like,SWE,6938,1932,0.2784664168348227,0.26804362026607226,0.2891344058070089
tooling_only,FS,1804,412,0.22838137472283815,0.2095987635358086,0.2483183460162672
tooling_only,SWE,6938,1885,0.2716921302969155,0.26135330254318645,0.28228364820486856
