analysis_group,sg,yr,n,rate_raw,rate_core
control,accountant,2024,4495,0.0006674082313681868,0.0004449388209121246
control,accountant,2026,2910,0.014089347079037801,0.007903780068728522
control,civil_engineer,2024,275,0.0,0.0
control,civil_engineer,2026,424,0.02358490566037736,0.007075471698113208
control,electrical_engineer,2024,788,0.007614213197969543,0.0012690355329949238
control,electrical_engineer,2026,1115,0.05201793721973094,0.016143497757847534
control,financial_analyst,2024,765,0.00392156862745098,0.0
control,financial_analyst,2026,874,0.030892448512585814,0.017162471395881007
control,mechanical_engineer,2024,540,0.001851851851851852,0.0
control,mechanical_engineer,2026,967,0.025853154084798345,0.010341261633919338
control,nurse,2024,13101,0.0030532020456453704,0.0
control,nurse,2026,6801,0.0007351860020585208,0.00014703720041170417
control,other_control,2024,2676,0.0011210762331838565,0.0
control,other_control,2026,935,0.0074866310160427805,0.0010695187165775401
swe,ml_engineer,2024,370,0.44324324324324327,0.41081081081081083
swe,ml_engineer,2026,1864,0.7601931330472103,0.7301502145922747
swe,other_swe,2024,22442,0.02579983958648962,0.016175028963550487
swe,other_swe,2026,23958,0.23879288755321812,0.1992653810835629
swe_adjacent,data_analyst,2024,556,0.014388489208633094,0.01079136690647482
swe_adjacent,data_analyst,2026,820,0.06829268292682927,0.0475609756097561
swe_adjacent,data_engineer,2024,24,0.041666666666666664,0.041666666666666664
swe_adjacent,data_engineer,2026,145,0.30344827586206896,0.27586206896551724
swe_adjacent,data_scientist,2024,828,0.1751207729468599,0.16304347826086957
swe_adjacent,data_scientist,2026,2797,0.4211655345012513,0.3964962459778334
swe_adjacent,devops_engineer,2024,12,0.0,0.0
swe_adjacent,devops_engineer,2026,6,0.16666666666666666,0.16666666666666666
swe_adjacent,ml_engineer,2024,37,0.8108108108108109,0.7567567567567568
swe_adjacent,ml_engineer,2026,187,0.8556149732620321,0.8342245989304813
swe_adjacent,network_engineer,2024,1384,0.001445086705202312,0.0
swe_adjacent,network_engineer,2026,1419,0.035940803382663845,0.012684989429175475
swe_adjacent,other_adjacent,2024,4390,0.023006833712984055,0.018223234624145785
swe_adjacent,other_adjacent,2026,3421,0.26805027769657996,0.24495761473253436
swe_adjacent,qa_engineer,2024,1086,0.001841620626151013,0.0
swe_adjacent,qa_engineer,2026,940,0.045744680851063826,0.036170212765957444
swe_adjacent,security_engineer,2024,884,0.011312217194570135,0.007918552036199095
swe_adjacent,security_engineer,2026,2456,0.15879478827361562,0.13355048859934854
swe_adjacent,solutions_architect,2024,902,0.031042128603104215,0.019955654101995565
swe_adjacent,solutions_architect,2026,583,0.27101200686106347,0.2538593481989708
swe_adjacent,systems_admin,2024,1708,0.000585480093676815,0.0
swe_adjacent,systems_admin,2026,115,0.034782608695652174,0.017391304347826087
