filter,n_hub,n_rest,hub_mean_delta,rest_mean_delta,premium_pp
all postings,5,21,0.23864644363350704,0.19426045900849453,4.4385984625012505
no aggregators,5,21,0.2445467074988917,0.19455984843520063,4.998685906369108
single-location only,5,21,0.23864644363350704,0.19426045900849453,4.4385984625012505
